batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
136	0.8856	0.0840	17.2237	0.0405	0.0822	1.0000	19.0000	0.2261	-0.1989	-0.1308	0.1830	-0.1929	-0.1797	0.0959	-0.1997	-0.2149	0.2187	-0.1859	-0.1481	17.2076	0.0421	0.0726	1.0000	19.0000	0.2413	-0.0969	-0.0355	0.2195	-0.0588	-0.0702	0.1675	0.0092	-0.0013	0.2416	0.0202	0.0039	0.1324	0.4687	0.1866	0.5860	0.3064	0.7245	0.1250	0.4441
272	0.9114	0.0893	17.2126	0.0413	0.0874	1.0000	19.0000	0.2815	-0.2420	-0.2122	0.2572	-0.2433	-0.2202	0.1797	-0.2037	-0.2116	0.2806	-0.2035	-0.1827	17.1968	0.0415	0.0796	1.0000	19.0000	0.3028	-0.0417	-0.1105	0.2916	-0.0553	-0.1118	0.2148	-0.0189	-0.0917	0.3043	-0.0513	-0.1224	0.1472	0.5272	0.1527	0.5374	0.2117	0.6356	0.1388	0.4954
408	0.8699	0.1201	17.2153	0.0392	0.1065	1.0000	19.0000	0.3355	-0.2476	-0.2044	0.3164	-0.2319	-0.2241	0.2351	-0.1937	-0.2257	0.3342	-0.2152	-0.2018	17.1982	0.0393	0.0771	1.0000	19.0000	0.3432	-0.2053	-0.1974	0.3330	-0.0811	-0.1579	0.2743	-0.0610	-0.1307	0.3454	-0.0899	-0.1781	0.1173	0.4048	0.1229	0.4249	0.1549	0.5211	0.1118	0.3734
544	0.8452	0.1399	17.2112	0.0378	0.1345	1.0000	19.0000	0.3552	-0.2506	-0.2774	0.3303	-0.2521	-0.3025	0.2570	-0.2533	-0.3215	0.3503	-0.2208	-0.2922	17.1949	0.0377	0.0894	1.0000	19.0000	0.3705	-0.0610	-0.2175	0.3506	0.0044	-0.2325	0.2923	-0.0425	-0.1746	0.3680	0.0004	-0.1868	0.1295	0.4629	0.1380	0.4880	0.1885	0.6111	0.1312	0.4571
680	0.8667	0.1590	17.2025	0.0385	0.1490	1.0000	19.0000	0.3965	-0.2895	-0.2993	0.3797	-0.2974	-0.3192	0.3120	-0.3166	-0.3647	0.3942	-0.2774	-0.3036	17.1856	0.0385	0.1030	1.0000	19.0000	0.4094	-0.0724	-0.2443	0.3921	-0.0873	-0.2654	0.3353	-0.1154	-0.2439	0.4094	-0.0785	-0.2482	0.1283	0.4552	0.1335	0.4701	0.1712	0.5669	0.1239	0.4358
816	0.8891	0.1920	17.1960	0.0392	0.1440	1.0000	19.0000	0.4362	-0.3262	-0.3317	0.4225	-0.3296	-0.3362	0.3524	-0.3240	-0.3687	0.4342	-0.2964	-0.3342	17.1795	0.0392	0.0939	0.9996	19.0000	0.4318	-0.0105	-0.2846	0.4209	-0.0649	-0.3224	0.3560	-0.1241	-0.2895	0.4298	-0.0206	-0.2851	0.1312	0.4731	0.1319	0.4724	0.1574	0.5406	0.1309	0.4698
952	0.8756	0.2048	17.1964	0.0385	0.1644	1.0000	19.0000	0.4511	-0.2709	-0.3000	0.4351	-0.3054	-0.3204	0.3568	-0.3210	-0.3612	0.4483	-0.2584	-0.3001	17.1791	0.0384	0.1002	0.9996	19.0000	0.4434	-0.0522	-0.2912	0.4302	-0.0846	-0.3145	0.3584	-0.1482	-0.3035	0.4424	-0.0526	-0.2952	0.1265	0.4490	0.1281	0.4544	0.1474	0.5181	0.1246	0.4407
1088	0.9142	0.2242	17.1890	0.0402	0.1468	1.0000	19.0000	0.4727	-0.2860	-0.2973	0.4631	-0.2946	-0.3142	0.3909	-0.3221	-0.3525	0.4690	-0.2881	-0.2989	17.1723	0.0396	0.0911	0.9992	19.0000	0.4593	-0.0882	-0.2513	0.4511	-0.0921	-0.2825	0.3865	-0.1601	-0.2908	0.4583	-0.0711	-0.2535	0.1328	0.4677	0.1332	0.4677	0.1584	0.5408	0.1309	0.4589
1224	0.9133	0.2368	17.1888	0.0400	0.1639	1.0000	19.0000	0.4791	-0.2695	-0.3184	0.4707	-0.2872	-0.3282	0.4011	-0.3097	-0.3351	0.4758	-0.2795	-0.3208	17.1722	0.0398	0.1013	0.9992	19.0000	0.4664	-0.0474	-0.2531	0.4575	-0.0627	-0.2816	0.3884	-0.0987	-0.2908	0.4648	-0.0465	-0.2553	0.1302	0.4674	0.1296	0.4629	0.1416	0.5047	0.1286	0.4599
1360	0.9237	0.2343	17.1856	0.0404	0.1533	1.0000	19.0000	0.4889	-0.2947	-0.3289	0.4821	-0.3071	-0.3346	0.4020	-0.3125	-0.3316	0.4849	-0.2919	-0.3277	17.1697	0.0400	0.0948	0.9996	19.0000	0.4737	-0.1364	-0.2289	0.4659	-0.1404	-0.2680	0.3819	-0.1715	-0.2789	0.4718	-0.1316	-0.2351	0.1383	0.4980	0.1356	0.4855	0.1414	0.5017	0.1369	0.4919
