batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
425	0.4108	0.3049	77.9502	0.0000	0.0005	0.9989	27059.7537	0.3673	0.3673	0.3673	0.3673	79.9928	0.0000	0.0000	1.0000	27062.1935	-0.5022	-0.5022	-0.5022	-0.5022	0.3774	0.6732	0.3774	0.6732	0.3774	0.6732	0.3774	0.6732
850	0.6940	0.5636	77.2164	0.0000	0.0007	0.8744	1277.9199	0.7084	0.7084	0.7084	0.7084	79.5214	0.0000	0.0000	0.1714	6130.2329	-0.8884	-0.8884	-0.8884	-0.8884	0.5456	0.8315	0.5456	0.8315	0.5456	0.8315	0.5456	0.8315
1275	0.7565	0.6201	77.0931	0.0000	0.0006	0.8352	121.1173	0.8118	0.8118	0.8118	0.8118	79.4118	0.0000	0.0000	0.0202	806.3942	-0.8828	-0.8828	-0.8828	-0.8828	0.5807	0.8558	0.5807	0.8558	0.5807	0.8558	0.5807	0.8558
1700	0.7614	0.6148	77.0674	0.0000	0.0006	0.8310	26.7455	0.8299	0.8299	0.8299	0.8299	79.3653	0.0000	0.0000	0.0050	272.7248	-0.8880	-0.8880	-0.8880	-0.8880	0.5862	0.8547	0.5862	0.8547	0.5862	0.8547	0.5862	0.8547
2125	0.7597	0.6013	77.0582	0.0000	0.0006	0.8205	9.6832	0.8245	0.8245	0.8245	0.8245	79.3707	0.0000	0.0000	0.0071	96.9012	-0.8894	-0.8894	-0.8894	-0.8894	0.6179	0.8645	0.6179	0.8645	0.6179	0.8645	0.6179	0.8645
2550	0.7435	0.6128	77.0606	0.0000	0.0007	0.8097	15.6406	0.8046	0.8046	0.8046	0.8046	79.3561	0.0000	0.0000	0.0050	64.4204	-0.8806	-0.8806	-0.8806	-0.8806	0.5793	0.8630	0.5793	0.8630	0.5793	0.8630	0.5793	0.8630
2975	0.7651	0.6169	77.0471	0.0000	0.0006	0.8241	10.0835	0.8396	0.8396	0.8396	0.8396	79.3253	0.0000	0.0000	0.0020	239.0907	-0.8798	-0.8798	-0.8798	-0.8798	0.5920	0.8655	0.5920	0.8655	0.5920	0.8655	0.5920	0.8655
3400	0.7642	0.6082	77.0403	0.0000	0.0006	0.8179	2.1858	0.8396	0.8396	0.8396	0.8396	79.3439	0.0000	0.0000	0.0000	99.4466	-0.8840	-0.8840	-0.8840	-0.8840	0.6279	0.8756	0.6279	0.8756	0.6279	0.8756	0.6279	0.8756
3825	0.7648	0.6311	77.0434	0.0000	0.0006	0.8185	1.8463	0.8372	0.8372	0.8372	0.8372	79.3266	0.0000	0.0000	0.0040	79.5081	-0.8912	-0.8912	-0.8912	-0.8912	0.6098	0.8654	0.6098	0.8654	0.6098	0.8654	0.6098	0.8654
4250	0.7616	0.6182	77.0486	0.0000	0.0007	0.8185	3.0974	0.8263	0.8263	0.8263	0.8263	79.3312	0.0000	0.0000	0.0000	11.6683	-0.8806	-0.8806	-0.8806	-0.8806	0.5890	0.8592	0.5890	0.8592	0.5890	0.8592	0.5890	0.8592
4675	0.7730	0.6174	77.0326	0.0000	0.0006	0.8165	2.9011	0.8502	0.8502	0.8502	0.8502	79.3123	0.0000	0.0000	0.0000	24.0292	-0.8908	-0.8908	-0.8908	-0.8908	0.6189	0.8729	0.6189	0.8729	0.6189	0.8729	0.6189	0.8729
5100	0.7767	0.6266	77.0290	0.0000	0.0006	0.8185	2.7318	0.8540	0.8540	0.8540	0.8540	79.3223	0.0000	0.0000	0.0000	25.5534	-0.8878	-0.8878	-0.8878	-0.8878	0.6409	0.8836	0.6409	0.8836	0.6409	0.8836	0.6409	0.8836
5525	0.7810	0.6173	77.0293	0.0000	0.0005	0.8205	1.6239	0.8570	0.8570	0.8570	0.8570	79.3156	0.0000	0.0000	0.0000	21.8175	-0.8989	-0.8989	-0.8989	-0.8989	0.6350	0.8827	0.6350	0.8827	0.6350	0.8827	0.6350	0.8827
