batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
425	0.0119	0.0007	77.9564	0.0001	0.0118	0.9514	144.0000	-0.0005	0.0190	-0.0010	0.0317	79.9933	0.0000	0.0000	0.1028	144.0000	-0.2320	-0.4924	-0.5497	-0.0592	0.2128	0.4912	0.2367	0.5348	0.2354	0.5292	0.2349	0.4985
850	0.0395	0.0125	77.9559	0.0003	0.0182	0.9821	144.0000	0.1960	0.2279	0.2119	0.1544	79.9930	0.0000	0.0000	0.9698	144.0000	-0.1972	-0.6243	-0.5844	0.0152	0.2291	0.5737	0.2526	0.6029	0.2733	0.6345	0.2116	0.5278
1275	0.2852	0.2099	77.9534	0.0019	0.1308	1.0000	144.0000	0.2843	0.3149	0.2618	0.2633	79.9910	0.0001	0.0001	1.0000	144.0000	-0.7357	-0.8359	-0.6691	-0.5747	0.2892	0.5953	0.3195	0.6421	0.3261	0.6648	0.2926	0.6004
1700	0.5026	0.3923	77.9506	0.0033	0.2607	1.0000	144.0000	0.4998	0.5016	0.4300	0.4833	79.9892	0.0001	0.0001	1.0000	144.0000	-0.7716	-0.8056	-0.6407	-0.6661	0.3348	0.6631	0.3717	0.7014	0.4015	0.7392	0.3451	0.6702
2125	0.5574	0.4400	77.9495	0.0036	0.3045	0.9997	144.0000	0.5368	0.5341	0.4617	0.5233	79.9887	0.0001	0.0001	1.0000	144.0000	-0.7737	-0.7988	-0.6429	-0.6859	0.3612	0.7015	0.4062	0.7423	0.4569	0.7923	0.3676	0.7102
2550	0.6236	0.4862	77.9488	0.0041	0.3313	1.0000	144.0000	0.6084	0.6095	0.5360	0.5937	79.9887	0.0001	0.0001	1.0000	144.0000	-0.7596	-0.8183	-0.6983	-0.6618	0.4365	0.7614	0.4804	0.7893	0.4978	0.8062	0.4315	0.7652
2975	0.6347	0.5205	77.9489	0.0041	0.3664	1.0000	144.0000	0.6491	0.6445	0.5620	0.6349	79.9888	0.0001	0.0001	1.0000	144.0000	-0.7802	-0.8195	-0.6834	-0.6867	0.4404	0.7631	0.4822	0.7960	0.5144	0.8222	0.4184	0.7603
3400	0.6670	0.5414	77.9485	0.0043	0.3645	0.9997	144.0000	0.6677	0.6728	0.6077	0.6499	79.9886	0.0001	0.0001	1.0000	144.0000	-0.7528	-0.8063	-0.6969	-0.6736	0.4577	0.7751	0.5058	0.8034	0.5385	0.8275	0.4474	0.7757
3825	0.6625	0.5334	77.9484	0.0043	0.3690	0.9997	144.0000	0.6718	0.6713	0.5951	0.6571	79.9880	0.0001	0.0001	1.0000	144.0000	-0.8088	-0.8581	-0.7290	-0.7497	0.4025	0.7420	0.4398	0.7660	0.4563	0.7844	0.4148	0.7441
4250	0.6696	0.5428	77.9480	0.0044	0.3851	0.9991	144.0000	0.6711	0.6787	0.6157	0.6582	79.9877	0.0001	0.0001	1.0000	144.0000	-0.8150	-0.8495	-0.7343	-0.7675	0.4317	0.7545	0.4664	0.7758	0.4847	0.8011	0.4110	0.7493
