batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
381	0.7893	0.6513	6.1502	0.0040	0.1683	0.9746	3.5392	0.1880	-0.2008	-0.3897	0.1880	-0.2008	-0.3897	0.1880	-0.2008	-0.3897	0.1880	-0.2008	-0.3897	6.1843	0.0045	0.2147	0.9536	3.7687	0.0922	-0.1212	-0.3011	0.0922	-0.1212	-0.3011	0.0922	-0.1212	-0.3011	0.0922	-0.1212	-0.3011	0.6540	0.5857	0.6540	0.5857	0.6540	0.5857	0.6540	0.5857
762	0.8228	0.6611	6.0658	0.0054	0.2837	0.9560	3.4939	0.2262	-0.1592	-0.3680	0.2262	-0.1592	-0.3680	0.2262	-0.1592	-0.3680	0.2262	-0.1592	-0.3680	6.0817	0.0071	0.2849	0.9291	3.5588	0.0944	-0.1622	-0.3431	0.0944	-0.1622	-0.3431	0.0944	-0.1622	-0.3431	0.0944	-0.1622	-0.3431	0.6688	0.5961	0.6688	0.5961	0.6688	0.5961	0.6688	0.5961
1143	0.8194	0.6152	6.0546	0.0048	0.2754	0.9510	3.3367	0.2975	-0.0401	-0.2448	0.2975	-0.0401	-0.2448	0.2975	-0.0401	-0.2448	0.2975	-0.0401	-0.2448	6.0697	0.0072	0.3180	0.9251	3.4033	0.1704	-0.0150	-0.1958	0.1704	-0.0150	-0.1958	0.1704	-0.0150	-0.1958	0.1704	-0.0150	-0.1958	0.6557	0.5606	0.6557	0.5606	0.6557	0.5606	0.6557	0.5606
1524	0.8233	0.6217	6.0852	0.0047	0.2616	0.9585	3.5764	0.2625	-0.0970	-0.3298	0.2625	-0.0970	-0.3298	0.2625	-0.0970	-0.3298	0.2625	-0.0970	-0.3298	6.1050	0.0059	0.3188	0.9346	3.6370	0.1372	-0.0608	-0.3018	0.1372	-0.0608	-0.3018	0.1372	-0.0608	-0.3018	0.1372	-0.0608	-0.3018	0.6905	0.6019	0.6905	0.6019	0.6905	0.6019	0.6905	0.6019
1905	0.8167	0.6219	6.0832	0.0047	0.2582	0.9557	3.4683	0.2645	-0.0795	-0.2872	0.2645	-0.0795	-0.2872	0.2645	-0.0795	-0.2872	0.2645	-0.0795	-0.2872	6.1071	0.0063	0.3071	0.9316	3.5481	0.1420	-0.1268	-0.3083	0.1420	-0.1268	-0.3083	0.1420	-0.1268	-0.3083	0.1420	-0.1268	-0.3083	0.6921	0.6102	0.6921	0.6102	0.6921	0.6102	0.6921	0.6102
2286	0.8171	0.6159	6.0856	0.0038	0.2913	0.9583	3.9428	0.3307	-0.0133	-0.1197	0.3307	-0.0133	-0.1197	0.3307	-0.0133	-0.1197	0.3307	-0.0133	-0.1197	6.1060	0.0052	0.3221	0.9343	3.9342	0.2475	0.0023	-0.0473	0.2475	0.0023	-0.0473	0.2475	0.0023	-0.0473	0.2475	0.0023	-0.0473	0.6067	0.5043	0.6067	0.5043	0.6067	0.5043	0.6067	0.5043
2667	0.8193	0.6181	6.0959	0.0046	0.2556	0.9556	3.5221	0.2181	-0.0871	-0.3375	0.2181	-0.0871	-0.3375	0.2181	-0.0871	-0.3375	0.2181	-0.0871	-0.3375	6.1127	0.0061	0.2959	0.9305	3.5256	0.1049	-0.0578	-0.2491	0.1049	-0.0578	-0.2491	0.1049	-0.0578	-0.2491	0.1049	-0.0578	-0.2491	0.6228	0.5293	0.6228	0.5293	0.6228	0.5293	0.6228	0.5293
3048	0.8253	0.6221	6.0517	0.0045	0.2475	0.9524	3.2373	0.2505	-0.0752	-0.2810	0.2505	-0.0752	-0.2810	0.2505	-0.0752	-0.2810	0.2505	-0.0752	-0.2810	6.0724	0.0064	0.3270	0.9270	3.3874	0.1283	-0.0487	-0.2899	0.1283	-0.0487	-0.2899	0.1283	-0.0487	-0.2899	0.1283	-0.0487	-0.2899	0.6831	0.6008	0.6831	0.6008	0.6831	0.6008	0.6831	0.6008
3429	0.8273	0.6248	6.0584	0.0048	0.2991	0.9490	3.1327	0.2768	-0.0247	-0.2356	0.2768	-0.0247	-0.2356	0.2768	-0.0247	-0.2356	0.2768	-0.0247	-0.2356	6.0832	0.0066	0.3037	0.9197	3.2890	0.1840	-0.0342	-0.2211	0.1840	-0.0342	-0.2211	0.1840	-0.0342	-0.2211	0.1840	-0.0342	-0.2211	0.6834	0.5963	0.6834	0.5963	0.6834	0.5963	0.6834	0.5963
3810	0.8251	0.6244	6.0507	0.0042	0.3099	0.9455	2.9996	0.3422	-0.0242	-0.1360	0.3422	-0.0242	-0.1360	0.3422	-0.0242	-0.1360	0.3422	-0.0242	-0.1360	6.0667	0.0057	0.3390	0.9165	3.0540	0.2375	-0.0026	-0.0905	0.2375	-0.0026	-0.0905	0.2375	-0.0026	-0.0905	0.2375	-0.0026	-0.0905	0.6276	0.5221	0.6276	0.5221	0.6276	0.5221	0.6276	0.5221
