batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
381	0.7755	0.6595	6.1611	0.0039	0.1377	0.9730	3.7404	0.1837	-0.2325	-0.4205	0.1837	-0.2325	-0.4205	0.1837	-0.2325	-0.4205	0.1837	-0.2325	-0.4205	6.1927	0.0046	0.2035	0.9586	4.0299	0.0596	-0.1518	-0.3692	0.0596	-0.1518	-0.3692	0.0596	-0.1518	-0.3692	0.0596	-0.1518	-0.3692	0.6850	0.6091	0.6850	0.6091	0.6850	0.6091	0.6850	0.6091
762	0.8255	0.6742	6.1238	0.0047	0.2273	0.9789	3.9196	0.2033	-0.1969	-0.4443	0.2033	-0.1969	-0.4443	0.2033	-0.1969	-0.4443	0.2033	-0.1969	-0.4443	6.1503	0.0063	0.2671	0.9627	4.0461	0.0805	-0.1300	-0.4059	0.0805	-0.1300	-0.4059	0.0805	-0.1300	-0.4059	0.0805	-0.1300	-0.4059	0.6735	0.6039	0.6735	0.6039	0.6735	0.6039	0.6735	0.6039
1143	0.8272	0.6465	6.0997	0.0041	0.2573	0.9728	3.9398	0.2384	-0.0810	-0.3736	0.2384	-0.0810	-0.3736	0.2384	-0.0810	-0.3736	0.2384	-0.0810	-0.3736	6.1195	0.0048	0.2840	0.9496	3.9973	0.1174	-0.0865	-0.3124	0.1174	-0.0865	-0.3124	0.1174	-0.0865	-0.3124	0.1174	-0.0865	-0.3124	0.6814	0.5920	0.6814	0.5920	0.6814	0.5920	0.6814	0.5920
1524	0.8383	0.6654	6.0892	0.0037	0.2568	0.9764	3.8862	0.2555	-0.0434	-0.3605	0.2555	-0.0434	-0.3605	0.2555	-0.0434	-0.3605	0.2555	-0.0434	-0.3605	6.1096	0.0047	0.2959	0.9581	3.9489	0.1327	-0.0298	-0.3288	0.1327	-0.0298	-0.3288	0.1327	-0.0298	-0.3288	0.1327	-0.0298	-0.3288	0.6713	0.5767	0.6713	0.5767	0.6713	0.5767	0.6713	0.5767
1905	0.8393	0.6281	6.0923	0.0036	0.2552	0.9762	3.8068	0.2262	-0.0634	-0.3950	0.2262	-0.0634	-0.3950	0.2262	-0.0634	-0.3950	0.2262	-0.0634	-0.3950	6.1130	0.0047	0.2814	0.9592	3.9443	0.0979	-0.0915	-0.3596	0.0979	-0.0915	-0.3596	0.0979	-0.0915	-0.3596	0.0979	-0.0915	-0.3596	0.6843	0.6015	0.6843	0.6015	0.6843	0.6015	0.6843	0.6015
2286	0.8403	0.6305	6.0837	0.0038	0.2732	0.9670	3.6848	0.2563	-0.0270	-0.3242	0.2563	-0.0270	-0.3242	0.2563	-0.0270	-0.3242	0.2563	-0.0270	-0.3242	6.1009	0.0046	0.2874	0.9426	3.7610	0.1293	-0.0149	-0.2792	0.1293	-0.0149	-0.2792	0.1293	-0.0149	-0.2792	0.1293	-0.0149	-0.2792	0.6502	0.5570	0.6502	0.5570	0.6502	0.5570	0.6502	0.5570
2667	0.8495	0.6547	6.0861	0.0037	0.2321	0.9733	3.9274	0.2629	-0.1233	-0.3536	0.2629	-0.1233	-0.3536	0.2629	-0.1233	-0.3536	0.2629	-0.1233	-0.3536	6.1077	0.0049	0.2778	0.9522	4.0216	0.1472	-0.1683	-0.2971	0.1472	-0.1683	-0.2971	0.1472	-0.1683	-0.2971	0.1472	-0.1683	-0.2971	0.6694	0.5781	0.6694	0.5781	0.6694	0.5781	0.6694	0.5781
3048	0.8459	0.6351	6.0826	0.0034	0.2480	0.9682	4.0548	0.2520	-0.1329	-0.3186	0.2520	-0.1329	-0.3186	0.2520	-0.1329	-0.3186	0.2520	-0.1329	-0.3186	6.1056	0.0054	0.3044	0.9473	4.1842	0.1295	-0.1356	-0.2831	0.1295	-0.1356	-0.2831	0.1295	-0.1356	-0.2831	0.1295	-0.1356	-0.2831	0.7163	0.6228	0.7163	0.6228	0.7163	0.6228	0.7163	0.6228
3429	0.8496	0.6411	6.0942	0.0032	0.2517	0.9783	4.0006	0.2126	-0.1071	-0.3885	0.2126	-0.1071	-0.3885	0.2126	-0.1071	-0.3885	0.2126	-0.1071	-0.3885	6.1168	0.0046	0.2794	0.9616	4.0443	0.0825	-0.1572	-0.3691	0.0825	-0.1572	-0.3691	0.0825	-0.1572	-0.3691	0.0825	-0.1572	-0.3691	0.6967	0.6222	0.6967	0.6222	0.6967	0.6222	0.6967	0.6222
3810	0.8440	0.6366	6.0865	0.0031	0.2862	0.9713	3.8790	0.2430	-0.0466	-0.3391	0.2430	-0.0466	-0.3391	0.2430	-0.0466	-0.3391	0.2430	-0.0466	-0.3391	6.1073	0.0042	0.2540	0.9493	3.9156	0.1355	-0.0458	-0.2638	0.1355	-0.0458	-0.2638	0.1355	-0.0458	-0.2638	0.1355	-0.0458	-0.2638	0.6532	0.5549	0.6532	0.5549	0.6532	0.5549	0.6532	0.5549
