batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
381	0.7693	0.6447	6.1508	0.0035	0.1525	0.9730	3.6275	0.1915	-0.2240	-0.4093	0.1915	-0.2240	-0.4093	0.1915	-0.2240	-0.4093	0.1915	-0.2240	-0.4093	6.1809	0.0041	0.2072	0.9566	3.8823	0.0943	-0.1265	-0.3241	0.0943	-0.1265	-0.3241	0.0943	-0.1265	-0.3241	0.0943	-0.1265	-0.3241	0.6565	0.5885	0.6565	0.5885	0.6565	0.5885	0.6565	0.5885
762	0.8317	0.6795	6.1100	0.0056	0.2471	0.9808	3.8559	0.2096	-0.1698	-0.4352	0.2096	-0.1698	-0.4352	0.2096	-0.1698	-0.4352	0.2096	-0.1698	-0.4352	6.1346	0.0071	0.2833	0.9644	4.0095	0.0809	-0.1389	-0.3945	0.0809	-0.1389	-0.3945	0.0809	-0.1389	-0.3945	0.0809	-0.1389	-0.3945	0.6633	0.6026	0.6633	0.6026	0.6633	0.6026	0.6633	0.6026
1143	0.8296	0.6619	6.1007	0.0043	0.2314	0.9711	3.7567	0.2239	-0.1035	-0.3920	0.2239	-0.1035	-0.3920	0.2239	-0.1035	-0.3920	0.2239	-0.1035	-0.3920	6.1234	0.0052	0.2900	0.9536	3.8277	0.1130	-0.0853	-0.3121	0.1130	-0.0853	-0.3121	0.1130	-0.0853	-0.3121	0.1130	-0.0853	-0.3121	0.6595	0.5807	0.6595	0.5807	0.6595	0.5807	0.6595	0.5807
1524	0.8419	0.6712	6.1033	0.0037	0.2796	0.9798	3.8109	0.2087	-0.1186	-0.4266	0.2087	-0.1186	-0.4266	0.2087	-0.1186	-0.4266	0.2087	-0.1186	-0.4266	6.1252	0.0047	0.2778	0.9635	3.9040	0.0761	-0.1231	-0.4035	0.0761	-0.1231	-0.4035	0.0761	-0.1231	-0.4035	0.0761	-0.1231	-0.4035	0.6838	0.5976	0.6838	0.5976	0.6838	0.5976	0.6838	0.5976
1905	0.8379	0.6366	6.1122	0.0036	0.2551	0.9762	4.0869	0.2096	-0.0821	-0.3975	0.2096	-0.0821	-0.3975	0.2096	-0.0821	-0.3975	0.2096	-0.0821	-0.3975	6.1329	0.0044	0.2682	0.9595	4.2038	0.0875	-0.0769	-0.3525	0.0875	-0.0769	-0.3525	0.0875	-0.0769	-0.3525	0.0875	-0.0769	-0.3525	0.6608	0.5746	0.6608	0.5746	0.6608	0.5746	0.6608	0.5746
2286	0.8420	0.6307	6.0905	0.0032	0.3016	0.9696	4.2328	0.2355	-0.0628	-0.3581	0.2355	-0.0628	-0.3581	0.2355	-0.0628	-0.3581	0.2355	-0.0628	-0.3581	6.1087	0.0047	0.3062	0.9505	4.2859	0.1221	-0.0496	-0.2813	0.1221	-0.0496	-0.2813	0.1221	-0.0496	-0.2813	0.1221	-0.0496	-0.2813	0.6245	0.5282	0.6245	0.5282	0.6245	0.5282	0.6245	0.5282
2667	0.8450	0.6648	6.0835	0.0033	0.3192	0.9725	3.5824	0.2629	-0.0345	-0.3441	0.2629	-0.0345	-0.3441	0.2629	-0.0345	-0.3441	0.2629	-0.0345	-0.3441	6.0985	0.0051	0.3128	0.9498	3.5997	0.1454	-0.0271	-0.2463	0.1454	-0.0271	-0.2463	0.1454	-0.0271	-0.2463	0.1454	-0.0271	-0.2463	0.6217	0.5336	0.6217	0.5336	0.6217	0.5336	0.6217	0.5336
3048	0.8432	0.6358	6.0823	0.0031	0.2808	0.9723	3.8314	0.2519	-0.1411	-0.3181	0.2519	-0.1411	-0.3181	0.2519	-0.1411	-0.3181	0.2519	-0.1411	-0.3181	6.0995	0.0049	0.2993	0.9513	3.8984	0.1281	-0.1930	-0.2947	0.1281	-0.1930	-0.2947	0.1281	-0.1930	-0.2947	0.1281	-0.1930	-0.2947	0.7081	0.6074	0.7081	0.6074	0.7081	0.6074	0.7081	0.6074
3429	0.8466	0.6389	6.0735	0.0024	0.2380	0.9700	3.5813	0.2847	-0.0274	-0.2682	0.2847	-0.0274	-0.2682	0.2847	-0.0274	-0.2682	0.2847	-0.0274	-0.2682	6.0955	0.0047	0.3047	0.9474	3.6540	0.1676	-0.0206	-0.2551	0.1676	-0.0206	-0.2551	0.1676	-0.0206	-0.2551	0.1676	-0.0206	-0.2551	0.6703	0.5915	0.6703	0.5915	0.6703	0.5915	0.6703	0.5915
3810	0.8503	0.6399	6.0654	0.0029	0.2477	0.9666	3.5830	0.3515	-0.0191	-0.1286	0.3515	-0.0191	-0.1286	0.3515	-0.0191	-0.1286	0.3515	-0.0191	-0.1286	6.0866	0.0047	0.2979	0.9461	3.7298	0.2574	0.0404	-0.0649	0.2574	0.0404	-0.0649	0.2574	0.0404	-0.0649	0.2574	0.0404	-0.0649	0.6521	0.5490	0.6521	0.5490	0.6521	0.5490	0.6521	0.5490
