batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
381	0.7946	0.6519	6.1495	0.0055	0.1646	0.9756	3.8498	0.1782	-0.2258	-0.4282	0.1782	-0.2258	-0.4282	0.1782	-0.2258	-0.4282	0.1782	-0.2258	-0.4282	6.1805	0.0072	0.2223	0.9625	4.0612	0.0650	-0.1254	-0.4075	0.0650	-0.1254	-0.4075	0.0650	-0.1254	-0.4075	0.0650	-0.1254	-0.4075	0.6700	0.5952	0.6700	0.5952	0.6700	0.5952	0.6700	0.5952
762	0.8220	0.6637	6.1123	0.0053	0.2558	0.9747	3.7408	0.2166	-0.0648	-0.3966	0.2166	-0.0648	-0.3966	0.2166	-0.0648	-0.3966	0.2166	-0.0648	-0.3966	6.1304	0.0065	0.2556	0.9547	3.8197	0.0892	-0.0165	-0.3519	0.0892	-0.0165	-0.3519	0.0892	-0.0165	-0.3519	0.0892	-0.0165	-0.3519	0.6609	0.5662	0.6609	0.5662	0.6609	0.5662	0.6609	0.5662
1143	0.8340	0.6420	6.1031	0.0052	0.2642	0.9724	4.1405	0.2419	-0.0764	-0.3971	0.2419	-0.0764	-0.3971	0.2419	-0.0764	-0.3971	0.2419	-0.0764	-0.3971	6.1222	0.0068	0.2588	0.9526	4.2572	0.1349	-0.0727	-0.3246	0.1349	-0.0727	-0.3246	0.1349	-0.0727	-0.3246	0.1349	-0.0727	-0.3246	0.6429	0.5614	0.6429	0.5614	0.6429	0.5614	0.6429	0.5614
1524	0.8313	0.6262	6.0905	0.0037	0.2540	0.9640	3.5631	0.2561	-0.0530	-0.3528	0.2561	-0.0530	-0.3528	0.2561	-0.0530	-0.3528	0.2561	-0.0530	-0.3528	6.1104	0.0050	0.2960	0.9403	3.6108	0.1380	-0.0563	-0.3216	0.1380	-0.0563	-0.3216	0.1380	-0.0563	-0.3216	0.1380	-0.0563	-0.3216	0.6525	0.5669	0.6525	0.5669	0.6525	0.5669	0.6525	0.5669
1905	0.8376	0.6393	6.0855	0.0047	0.2644	0.9708	4.0476	0.2620	-0.0278	-0.2844	0.2620	-0.0278	-0.2844	0.2620	-0.0278	-0.2844	0.2620	-0.0278	-0.2844	6.1002	0.0059	0.2936	0.9525	4.0618	0.1401	-0.0000	-0.2514	0.1401	-0.0000	-0.2514	0.1401	-0.0000	-0.2514	0.1401	-0.0000	-0.2514	0.6348	0.5395	0.6348	0.5395	0.6348	0.5395	0.6348	0.5395
2286	0.8289	0.6279	6.0923	0.0035	0.2696	0.9707	4.4429	0.2646	-0.0363	-0.2976	0.2646	-0.0363	-0.2976	0.2646	-0.0363	-0.2976	0.2646	-0.0363	-0.2976	6.1129	0.0050	0.2650	0.9534	4.4607	0.1578	-0.0188	-0.2248	0.1578	-0.0188	-0.2248	0.1578	-0.0188	-0.2248	0.1578	-0.0188	-0.2248	0.6432	0.5528	0.6432	0.5528	0.6432	0.5528	0.6432	0.5528
2667	0.8351	0.6293	6.0836	0.0041	0.2595	0.9742	4.1711	0.2283	-0.1183	-0.3484	0.2283	-0.1183	-0.3484	0.2283	-0.1183	-0.3484	0.2283	-0.1183	-0.3484	6.1057	0.0061	0.3105	0.9565	4.2865	0.1075	-0.1031	-0.3325	0.1075	-0.1031	-0.3325	0.1075	-0.1031	-0.3325	0.1075	-0.1031	-0.3325	0.7093	0.6167	0.7093	0.6167	0.7093	0.6167	0.7093	0.6167
3048	0.8424	0.6332	6.0845	0.0038	0.3188	0.9686	3.9965	0.2545	-0.0717	-0.3157	0.2545	-0.0717	-0.3157	0.2545	-0.0717	-0.3157	0.2545	-0.0717	-0.3157	6.1029	0.0055	0.2972	0.9435	3.9793	0.1338	-0.0357	-0.2433	0.1338	-0.0357	-0.2433	0.1338	-0.0357	-0.2433	0.1338	-0.0357	-0.2433	0.6351	0.5484	0.6351	0.5484	0.6351	0.5484	0.6351	0.5484
3429	0.8385	0.6322	6.1072	0.0047	0.2806	0.9704	4.3259	0.2410	-0.0727	-0.3466	0.2410	-0.0727	-0.3466	0.2410	-0.0727	-0.3466	0.2410	-0.0727	-0.3466	6.1283	0.0061	0.3020	0.9490	4.3504	0.1129	-0.0378	-0.3192	0.1129	-0.0378	-0.3192	0.1129	-0.0378	-0.3192	0.1129	-0.0378	-0.3192	0.6697	0.5687	0.6697	0.5687	0.6697	0.5687	0.6697	0.5687
3810	0.8375	0.6302	6.0798	0.0036	0.2820	0.9624	3.5921	0.2900	-0.0842	-0.2869	0.2900	-0.0842	-0.2869	0.2900	-0.0842	-0.2869	0.2900	-0.0842	-0.2869	6.1018	0.0051	0.2893	0.9375	3.6326	0.1945	-0.0323	-0.2195	0.1945	-0.0323	-0.2195	0.1945	-0.0323	-0.2195	0.1945	-0.0323	-0.2195	0.6589	0.5762	0.6589	0.5762	0.6589	0.5762	0.6589	0.5762
