batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
381	0.2412	0.0333	5.9421	0.0045	0.7644	0.2691	1.1914	0.0127	0.0507	0.0535	0.0155	0.0304	0.0327	-0.0083	-0.0129	-0.0103	0.0155	0.0402	0.0453	0.0074	0.0205	0.0313	0.0097	0.0179	0.0229	5.9518	0.0042	0.7956	0.2508	1.1779	0.0045	0.0014	-0.0030	0.0032	0.0063	0.0021	0.0028	0.0178	0.0136	0.0032	-0.0020	-0.0054	0.0188	0.0094	0.0112	-0.0028	-0.0170	-0.0187	0.5450	0.4626	0.5415	0.4569	0.5733	0.4976	0.5452	0.4685	0.5482	0.4695	0.5699	0.4799
762	0.1492	0.0376	6.0346	0.0116	0.7560	0.2399	1.8827	-0.0016	0.0396	0.0573	0.0128	0.0396	0.0585	0.0121	0.0442	0.0512	0.0281	0.0568	0.0759	0.0024	0.0176	0.0220	0.0173	0.0547	0.0502	6.0470	0.0116	0.7982	0.2503	1.8774	0.0340	0.0228	0.0193	0.0444	0.0401	0.0382	0.0424	0.0585	0.0514	0.0399	0.0443	0.0418	0.0331	0.0440	0.0177	0.0331	0.0441	0.0280	0.5910	0.5108	0.6070	0.5148	0.6060	0.5264	0.6007	0.5237	0.6095	0.5257	0.6030	0.5197
1143	0.1070	0.0543	6.1257	0.0194	0.6680	0.2456	2.7635	0.0053	0.0205	0.0301	0.0203	-0.0113	0.0755	0.0061	0.0103	0.0309	-0.0038	-0.0139	0.0191	-0.0011	-0.0714	-0.0438	-0.0072	-0.0415	-0.0274	6.1391	0.0198	0.6903	0.2406	2.7783	0.0124	0.0018	0.0204	0.0051	-0.0146	0.0105	0.0032	-0.0044	0.0137	0.0078	0.0107	0.0292	-0.0051	-0.0221	0.0006	-0.0016	-0.0164	0.0065	0.6110	0.5064	0.6019	0.5160	0.5816	0.4945	0.5967	0.5008	0.5850	0.4971	0.6030	0.5110
1524	0.2625	0.0317	5.9296	0.0030	0.8343	0.2758	1.1444	-0.0114	-0.0064	-0.0032	-0.0098	-0.0408	-0.0387	-0.0123	-0.0071	-0.0034	-0.0024	-0.0001	0.0051	-0.0040	0.0089	0.0117	-0.0006	-0.0438	-0.0406	5.9417	0.0029	0.9041	0.2623	1.1372	0.0020	0.0044	0.0068	-0.0044	-0.0063	-0.0068	-0.0020	0.0158	0.0163	-0.0090	-0.0114	-0.0133	-0.0099	-0.0113	-0.0102	-0.0032	-0.0094	-0.0057	0.5600	0.4784	0.5716	0.4922	0.5605	0.4763	0.5693	0.4857	0.5634	0.4799	0.5779	0.4987
1905	0.0797	0.0282	6.0247	0.0122	0.7695	0.1347	1.7700	-0.0297	-0.0249	-0.0308	0.0027	0.0115	0.0040	-0.0101	-0.0290	-0.0317	-0.0040	-0.0105	-0.0099	-0.0157	-0.0585	-0.0540	0.0041	-0.0165	-0.0105	6.0447	0.0126	0.8050	0.1227	1.8233	-0.0205	-0.0178	-0.0215	-0.0191	-0.0398	-0.0404	-0.0179	0.0066	0.0074	0.0145	0.0205	0.0137	-0.0096	-0.0076	-0.0172	0.0081	0.0080	0.0025	0.5967	0.5214	0.6001	0.5262	0.5975	0.5333	0.5919	0.5157	0.5986	0.5271	0.6106	0.5422
2286	0.0582	0.0289	6.3381	0.0288	0.4756	0.2264	3.8175	-0.0044	-0.0162	-0.0238	-0.0044	-0.0204	-0.0244	0.0127	-0.0140	-0.0162	0.0026	-0.0045	-0.0022	0.0016	0.0117	0.0171	-0.0008	-0.0049	-0.0084	6.3476	0.0292	0.5009	0.1967	3.8235	0.0072	0.0064	0.0077	0.0045	-0.0164	-0.0210	0.0075	-0.0268	-0.0277	0.0108	0.0070	0.0059	0.0109	-0.0006	0.0032	-0.0072	-0.0124	-0.0136	0.6036	0.5409	0.6189	0.5489	0.5968	0.5340	0.5957	0.5231	0.6084	0.5324	0.5769	0.4960
2667	0.0555	0.0270	6.1026	0.0222	0.6869	0.1122	2.1700	0.0162	0.0144	0.0023	0.0048	0.0272	0.0148	0.0143	0.0165	0.0109	0.0061	0.0332	0.0146	0.0107	0.0248	0.0208	0.0132	0.0523	0.0485	6.1107	0.0222	0.7245	0.1133	2.1449	-0.0054	-0.0033	-0.0151	0.0000	0.0117	-0.0043	0.0207	0.0019	-0.0036	-0.0013	0.0016	-0.0140	-0.0095	0.0166	0.0070	0.0174	0.0165	0.0093	0.5698	0.4791	0.5656	0.4781	0.5641	0.4901	0.5739	0.4894	0.5836	0.4951	0.5939	0.5028
3048	0.1176	0.0325	6.0117	0.0121	0.7576	0.1599	1.5834	0.0006	0.0063	0.0036	-0.0120	0.0124	0.0040	-0.0147	-0.0024	-0.0056	-0.0004	0.0159	0.0104	-0.0049	0.0199	0.0118	-0.0187	-0.0043	-0.0110	6.0229	0.0120	0.8212	0.1805	1.5884	-0.0008	0.0198	0.0156	-0.0234	0.0005	-0.0045	-0.0005	0.0166	0.0137	-0.0102	-0.0172	-0.0237	-0.0094	0.0004	-0.0110	-0.0063	0.0121	-0.0003	0.5544	0.4593	0.5565	0.4701	0.5753	0.4887	0.5597	0.4684	0.5818	0.5007	0.5842	0.5050
3429	0.0773	0.0357	6.1172	0.0213	0.6765	0.1753	2.3902	-0.0063	-0.0117	-0.0104	-0.0043	-0.0083	-0.0030	0.0022	-0.0136	-0.0137	0.0094	0.0012	0.0113	0.0006	-0.0050	0.0011	0.0049	-0.0091	-0.0073	6.1322	0.0214	0.7059	0.1773	2.4387	-0.0096	-0.0067	-0.0007	-0.0206	-0.0434	-0.0418	-0.0116	-0.0218	-0.0182	-0.0025	-0.0087	-0.0056	-0.0041	0.0042	0.0109	0.0133	0.0240	0.0330	0.5822	0.5071	0.5781	0.5046	0.5623	0.4808	0.5875	0.5083	0.5785	0.4970	0.5675	0.4835
3810	0.0886	0.0427	6.0338	0.0145	0.7692	0.1555	1.7311	-0.0015	-0.0058	0.0082	0.0030	0.0110	0.0353	-0.0026	0.0136	0.0159	0.0033	-0.0196	-0.0010	-0.0032	-0.0148	0.0001	0.0024	-0.0076	0.0096	6.0443	0.0138	0.8048	0.1468	1.7353	-0.0087	-0.0064	-0.0082	0.0020	-0.0091	-0.0152	0.0070	0.0087	0.0131	-0.0010	-0.0055	0.0089	0.0092	0.0045	0.0107	-0.0047	0.0047	-0.0089	0.5866	0.5017	0.5773	0.4900	0.5748	0.4959	0.5987	0.5140	0.5797	0.4818	0.5845	0.4934
