batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.0017	0.0004	77.9509	0.0001	0.0086	0.8406	129.0136	0.0095	-0.0702	-0.0503	0.0127	0.0045	0.0390	79.9879	0.0001	0.0001	0.0000	129.0000	0.0242	-0.5671	-0.6725	0.2394	-0.0184	0.0210	0.2265	0.5163	0.2077	0.4756	0.2057	0.4759	0.2281	0.5142	0.2367	0.5458	0.2013	0.4564
850	0.0151	0.0022	77.9413	0.0002	0.0216	0.8599	124.0648	0.2104	0.2122	0.2123	0.1467	0.1617	0.1713	79.9794	0.0001	0.0001	0.0000	124.4345	-0.1165	-0.1204	-0.1421	-0.0298	-0.1810	-0.1996	0.2528	0.5763	0.2555	0.5737	0.2577	0.5772	0.2433	0.5616	0.2499	0.5698	0.2385	0.5404
1275	0.0503	0.0144	77.9039	0.0006	0.0443	0.8639	85.3446	0.2557	0.2798	0.2748	0.1636	0.1249	0.2307	79.9513	0.0003	0.0003	0.0000	92.0776	-0.1376	-0.3152	-0.3402	0.0554	-0.0868	-0.1553	0.3026	0.6370	0.2975	0.6421	0.2856	0.6328	0.2596	0.5811	0.2692	0.5924	0.2952	0.6248
1700	0.1196	0.0661	77.8174	0.0012	0.0998	0.8585	53.0071	0.2745	0.2996	0.2459	0.2116	0.0673	0.1783	79.8818	0.0008	0.0008	0.0000	64.6976	-0.4338	-0.5502	-0.5393	-0.2979	-0.1583	-0.3455	0.3003	0.6088	0.3404	0.6771	0.3445	0.6837	0.2668	0.5780	0.2844	0.6031	0.3342	0.6634
2125	0.2892	0.2061	77.6867	0.0017	0.1599	0.8528	34.3926	0.4129	0.4323	0.3694	0.3786	0.1043	0.2810	79.8159	0.0012	0.0012	0.0000	51.3609	-0.5321	-0.6444	-0.5644	-0.3349	0.0100	-0.2364	0.3600	0.6833	0.4179	0.7509	0.4180	0.7619	0.3363	0.6739	0.3033	0.6382	0.3975	0.7358
2550	0.4023	0.3019	77.5809	0.0018	0.1763	0.8577	24.5906	0.5066	0.5003	0.4163	0.4561	0.2101	0.3384	79.7588	0.0016	0.0016	0.0000	41.4728	-0.6395	-0.7483	-0.6469	-0.4205	-0.0037	-0.2749	0.3751	0.7188	0.4366	0.7747	0.4408	0.7894	0.3667	0.7125	0.3332	0.6840	0.4561	0.7780
2975	0.5094	0.3966	77.4983	0.0018	0.1878	0.8588	19.6645	0.5796	0.5583	0.4463	0.5339	0.2994	0.3928	79.7439	0.0017	0.0017	0.0000	38.3246	-0.6313	-0.7453	-0.6690	-0.4293	0.0298	-0.2720	0.4583	0.7694	0.5033	0.8028	0.5029	0.8043	0.4202	0.7591	0.3173	0.6783	0.4688	0.7829
3400	0.5668	0.4406	77.4588	0.0016	0.1711	0.8665	16.5872	0.6296	0.6153	0.4873	0.6038	0.3927	0.4807	79.7171	0.0019	0.0019	0.0000	33.4698	-0.5941	-0.6869	-0.6219	-0.4091	0.0294	-0.3177	0.4403	0.7670	0.4825	0.8042	0.4902	0.8169	0.4176	0.7589	0.4249	0.7538	0.5432	0.8332
3825	0.5733	0.4455	77.4626	0.0017	0.1744	0.8665	18.5511	0.6390	0.6110	0.5032	0.5866	0.3856	0.4753	79.7357	0.0018	0.0017	0.0000	38.3115	-0.6244	-0.6880	-0.6429	-0.4585	0.1044	-0.3154	0.4595	0.7831	0.5164	0.8217	0.5580	0.8447	0.4392	0.7755	0.3844	0.7418	0.5652	0.8468
4250	0.5821	0.4566	77.4808	0.0017	0.1795	0.8705	19.5872	0.6304	0.6105	0.4872	0.5881	0.3534	0.4708	79.7544	0.0016	0.0016	0.0000	37.6230	-0.5763	-0.6624	-0.6240	-0.4382	0.0577	-0.3673	0.4695	0.7954	0.5314	0.8309	0.5317	0.8340	0.4287	0.7786	0.3443	0.7106	0.5458	0.8364
4675	0.6091	0.4810	77.4874	0.0018	0.1880	0.8730	20.2563	0.6679	0.6338	0.4978	0.6273	0.3845	0.4749	79.7645	0.0016	0.0016	0.0000	39.5917	-0.5483	-0.6370	-0.6034	-0.3922	-0.0215	-0.3884	0.4938	0.8095	0.5287	0.8322	0.5575	0.8461	0.4486	0.7914	0.3793	0.7418	0.5500	0.8412
5100	0.6062	0.4662	77.5119	0.0019	0.1875	0.8761	24.1088	0.6716	0.6301	0.5003	0.6235	0.3273	0.4859	79.7880	0.0014	0.0014	0.0000	45.9224	-0.4922	-0.5842	-0.5735	-0.3459	0.0360	-0.3428	0.5014	0.8168	0.5501	0.8490	0.5920	0.8617	0.4596	0.8025	0.3396	0.7023	0.5698	0.8522
5525	0.6216	0.4815	77.5339	0.0020	0.1965	0.8773	26.7401	0.6601	0.6307	0.5111	0.6200	0.2652	0.4775	79.8075	0.0013	0.0013	0.0000	48.7258	-0.4612	-0.5606	-0.5728	-0.3271	0.0418	-0.3083	0.5042	0.8243	0.5510	0.8480	0.5700	0.8564	0.4634	0.8084	0.3029	0.6603	0.5576	0.8429
