batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
381	0.7961	0.6541	6.1350	0.0058	0.1691	0.9729	3.7836	0.1886	-0.1919	-0.4067	0.1886	-0.1919	-0.4067	0.1886	-0.1919	-0.4067	0.1886	-0.1919	-0.4067	6.1667	0.0072	0.2195	0.9615	4.0266	0.0855	-0.1343	-0.4020	0.0855	-0.1343	-0.4020	0.0855	-0.1343	-0.4020	0.0855	-0.1343	-0.4020	0.6739	0.5991	0.6739	0.5991	0.6739	0.5991	0.6739	0.5991
762	0.8233	0.6718	6.1109	0.0053	0.2347	0.9726	3.8232	0.1985	-0.0851	-0.4363	0.1985	-0.0851	-0.4363	0.1985	-0.0851	-0.4363	0.1985	-0.0851	-0.4363	6.1288	0.0065	0.2468	0.9580	3.9168	0.0583	-0.1336	-0.3935	0.0583	-0.1336	-0.3935	0.0583	-0.1336	-0.3935	0.0583	-0.1336	-0.3935	0.6863	0.5879	0.6863	0.5879	0.6863	0.5879	0.6863	0.5879
1143	0.8387	0.6573	6.0920	0.0048	0.2618	0.9681	4.1043	0.2303	-0.1038	-0.3829	0.2303	-0.1038	-0.3829	0.2303	-0.1038	-0.3829	0.2303	-0.1038	-0.3829	6.1182	0.0063	0.2754	0.9458	4.1911	0.1282	-0.1026	-0.3344	0.1282	-0.1026	-0.3344	0.1282	-0.1026	-0.3344	0.1282	-0.1026	-0.3344	0.6685	0.5896	0.6685	0.5896	0.6685	0.5896	0.6685	0.5896
1524	0.8362	0.6454	6.0891	0.0040	0.2483	0.9636	3.9438	0.2447	-0.0983	-0.3672	0.2447	-0.0983	-0.3672	0.2447	-0.0983	-0.3672	0.2447	-0.0983	-0.3672	6.1113	0.0055	0.2981	0.9437	4.0861	0.1192	-0.1186	-0.3438	0.1192	-0.1186	-0.3438	0.1192	-0.1186	-0.3438	0.1192	-0.1186	-0.3438	0.6805	0.6017	0.6805	0.6017	0.6805	0.6017	0.6805	0.6017
1905	0.8345	0.6283	6.0933	0.0040	0.2551	0.9693	3.8649	0.2878	-0.0444	-0.2803	0.2878	-0.0444	-0.2803	0.2878	-0.0444	-0.2803	0.2878	-0.0444	-0.2803	6.1148	0.0052	0.2840	0.9539	4.0266	0.1853	-0.0278	-0.2396	0.1853	-0.0278	-0.2396	0.1853	-0.0278	-0.2396	0.1853	-0.0278	-0.2396	0.6828	0.5908	0.6828	0.5908	0.6828	0.5908	0.6828	0.5908
2286	0.8289	0.6241	6.0817	0.0041	0.2783	0.9616	3.9190	0.2832	-0.0677	-0.2921	0.2832	-0.0677	-0.2921	0.2832	-0.0677	-0.2921	0.2832	-0.0677	-0.2921	6.1002	0.0054	0.2724	0.9366	3.9910	0.1737	-0.0565	-0.2243	0.1737	-0.0565	-0.2243	0.1737	-0.0565	-0.2243	0.1737	-0.0565	-0.2243	0.6597	0.5663	0.6597	0.5663	0.6597	0.5663	0.6597	0.5663
2667	0.8414	0.6350	6.0773	0.0051	0.2786	0.9667	4.0324	0.2666	-0.0564	-0.2869	0.2666	-0.0564	-0.2869	0.2666	-0.0564	-0.2869	0.2666	-0.0564	-0.2869	6.0956	0.0065	0.3197	0.9449	4.1227	0.1544	-0.0045	-0.2516	0.1544	-0.0045	-0.2516	0.1544	-0.0045	-0.2516	0.1544	-0.0045	-0.2516	0.6507	0.5586	0.6507	0.5586	0.6507	0.5586	0.6507	0.5586
3048	0.8394	0.6302	6.0791	0.0035	0.2653	0.9649	3.8157	0.2646	-0.0368	-0.2918	0.2646	-0.0368	-0.2918	0.2646	-0.0368	-0.2918	0.2646	-0.0368	-0.2918	6.0973	0.0052	0.2975	0.9402	3.8395	0.1474	-0.0767	-0.2509	0.1474	-0.0767	-0.2509	0.1474	-0.0767	-0.2509	0.1474	-0.0767	-0.2509	0.6497	0.5670	0.6497	0.5670	0.6497	0.5670	0.6497	0.5670
3429	0.8415	0.6345	6.0824	0.0039	0.2977	0.9696	4.0465	0.2651	-0.0814	-0.3208	0.2651	-0.0814	-0.3208	0.2651	-0.0814	-0.3208	0.2651	-0.0814	-0.3208	6.1041	0.0055	0.2821	0.9496	4.1393	0.1400	-0.0444	-0.2939	0.1400	-0.0444	-0.2939	0.1400	-0.0444	-0.2939	0.1400	-0.0444	-0.2939	0.6896	0.5847	0.6896	0.5847	0.6896	0.5847	0.6896	0.5847
3810	0.8431	0.6376	6.0715	0.0044	0.2890	0.9645	3.8481	0.3001	-0.0499	-0.2501	0.3001	-0.0499	-0.2501	0.3001	-0.0499	-0.2501	0.3001	-0.0499	-0.2501	6.0940	0.0057	0.2833	0.9406	3.9498	0.2123	-0.0070	-0.1685	0.2123	-0.0070	-0.1685	0.2123	-0.0070	-0.1685	0.2123	-0.0070	-0.1685	0.6815	0.5772	0.6815	0.5772	0.6815	0.5772	0.6815	0.5772
