batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
425	0.0102	0.0022	77.9563	0.0001	0.0094	0.9614	144.0000	0.0710	0.1552	0.1522	-0.0066	79.9932	0.0000	0.0000	0.7006	144.0000	-0.4249	-0.7048	-0.7117	0.0576	0.2783	0.5698	0.2891	0.6130	0.2877	0.6138	0.2092	0.4685
850	0.0682	0.0319	77.9561	0.0005	0.0294	0.9849	144.0000	0.2517	0.2787	0.2293	0.1956	79.9931	0.0000	0.0000	0.9446	144.0000	-0.4243	-0.6306	-0.5766	-0.0784	0.3441	0.6714	0.3324	0.6715	0.3058	0.6431	0.2835	0.6209
1275	0.3119	0.2243	77.9527	0.0020	0.1618	1.0000	144.0000	0.3160	0.3430	0.2951	0.2963	79.9910	0.0001	0.0001	1.0000	144.0000	-0.6844	-0.7550	-0.6348	-0.5257	0.3590	0.6846	0.3936	0.7316	0.3937	0.7413	0.3254	0.6669
1700	0.5205	0.3999	77.9503	0.0034	0.2752	1.0000	144.0000	0.5464	0.5519	0.4819	0.5347	79.9894	0.0001	0.0001	1.0000	144.0000	-0.7797	-0.8135	-0.6415	-0.6410	0.3651	0.7066	0.4154	0.7451	0.4353	0.7678	0.3880	0.7156
2125	0.6054	0.4859	77.9493	0.0039	0.3329	0.9997	144.0000	0.6125	0.6121	0.5290	0.5952	79.9889	0.0001	0.0001	1.0000	144.0000	-0.7665	-0.8103	-0.6557	-0.6666	0.3868	0.7351	0.4480	0.7719	0.4807	0.8005	0.3983	0.7375
2550	0.6361	0.5131	77.9490	0.0041	0.3591	0.9994	144.0000	0.6501	0.6524	0.5793	0.6342	79.9889	0.0001	0.0001	1.0000	144.0000	-0.7721	-0.8209	-0.6984	-0.6791	0.4444	0.7602	0.4852	0.7885	0.5059	0.8148	0.4563	0.7637
2975	0.6739	0.5567	77.9485	0.0044	0.3694	0.9997	144.0000	0.7134	0.7107	0.6228	0.6975	79.9888	0.0001	0.0001	1.0000	144.0000	-0.8159	-0.8547	-0.7125	-0.7186	0.4693	0.7861	0.5043	0.8116	0.5193	0.8277	0.4549	0.7869
3400	0.5855	0.5119	77.9493	0.0038	0.3426	0.9997	144.0000	0.5459	0.5530	0.5098	0.5314	79.9883	0.0001	0.0001	1.0000	144.0000	-0.8317	-0.8620	-0.7305	-0.7743	0.3603	0.6853	0.3957	0.7200	0.4294	0.7624	0.3536	0.6822
3825	0.6861	0.5548	77.9482	0.0045	0.3547	0.9994	144.0000	0.6964	0.6907	0.6053	0.6856	79.9881	0.0001	0.0001	1.0000	144.0000	-0.7782	-0.8139	-0.6856	-0.7170	0.4543	0.7738	0.4804	0.7923	0.4800	0.8042	0.4439	0.7723
4250	0.6912	0.5528	77.9484	0.0045	0.3604	0.9991	144.0000	0.7059	0.6918	0.5903	0.6924	79.9887	0.0001	0.0001	1.0000	144.0000	-0.8200	-0.8757	-0.7539	-0.7261	0.4851	0.7858	0.5374	0.8122	0.5542	0.8249	0.4686	0.7841
4675	0.6480	0.5147	77.9487	0.0042	0.3519	0.9989	144.0000	0.6679	0.6663	0.6123	0.6521	79.9883	0.0001	0.0001	1.0000	144.0000	-0.8364	-0.8818	-0.7672	-0.7614	0.4102	0.7309	0.4444	0.7558	0.4567	0.7757	0.3888	0.7262
5100	0.7440	0.5976	77.9475	0.0048	0.4016	0.9994	144.0000	0.7878	0.7847	0.6903	0.7693	79.9879	0.0001	0.0001	1.0000	144.0000	-0.8278	-0.8530	-0.7508	-0.7556	0.4945	0.8123	0.5207	0.8273	0.5512	0.8475	0.4997	0.8128
