batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
425	0.0125	0.0029	77.9563	0.0001	0.0101	0.9466	144.0000	-0.0732	0.1269	0.1312	-0.0448	79.9932	0.0000	0.0000	0.9980	144.0000	-0.0181	-0.5445	-0.5562	0.2010	0.2098	0.4993	0.1977	0.4800	0.1961	0.4751	0.1741	0.3843
850	0.0636	0.0360	77.9556	0.0004	0.0353	0.9875	144.0000	0.1706	0.2016	0.1499	0.1550	79.9928	0.0000	0.0000	0.8619	144.0000	-0.5932	-0.6912	-0.6434	-0.3845	0.3174	0.6647	0.3334	0.6970	0.3257	0.6941	0.2726	0.5955
1275	0.2977	0.2201	77.9533	0.0019	0.1603	0.9994	144.0000	0.3531	0.3660	0.3084	0.3346	79.9913	0.0001	0.0001	1.0000	144.0000	-0.6731	-0.7649	-0.6456	-0.4810	0.3810	0.7050	0.4149	0.7477	0.4315	0.7691	0.3463	0.6881
1700	0.5091	0.3939	77.9507	0.0033	0.2814	0.9994	144.0000	0.4782	0.4887	0.3905	0.4707	79.9897	0.0001	0.0001	1.0000	144.0000	-0.7148	-0.7563	-0.6120	-0.6132	0.3895	0.7136	0.4365	0.7510	0.4550	0.7732	0.3810	0.7164
2125	0.6048	0.4816	77.9495	0.0039	0.3420	1.0000	144.0000	0.5926	0.5965	0.5165	0.5783	79.9892	0.0001	0.0001	1.0000	144.0000	-0.7527	-0.8106	-0.6838	-0.6495	0.4387	0.7517	0.4920	0.7872	0.5132	0.8136	0.4233	0.7538
2550	0.6668	0.5326	77.9489	0.0043	0.3564	0.9997	144.0000	0.6811	0.6812	0.5876	0.6655	79.9889	0.0001	0.0001	1.0000	144.0000	-0.7460	-0.8043	-0.6858	-0.6511	0.4614	0.7789	0.5176	0.8089	0.5483	0.8325	0.4543	0.7795
2975	0.6557	0.5180	77.9486	0.0043	0.3582	1.0000	144.0000	0.6523	0.6528	0.5651	0.6364	79.9889	0.0001	0.0001	1.0000	144.0000	-0.7642	-0.8333	-0.6955	-0.6609	0.5146	0.7967	0.5497	0.8236	0.5697	0.8480	0.4890	0.7917
3400	0.6818	0.5524	77.9484	0.0044	0.3638	1.0000	144.0000	0.6846	0.6914	0.6125	0.6739	79.9888	0.0001	0.0001	1.0000	144.0000	-0.7832	-0.8372	-0.7017	-0.6894	0.5130	0.8015	0.5637	0.8271	0.5918	0.8506	0.4877	0.8007
3825	0.6568	0.5156	77.9489	0.0043	0.3548	0.9994	144.0000	0.6527	0.6497	0.5656	0.6460	79.9890	0.0001	0.0001	1.0000	144.0000	-0.7519	-0.8086	-0.6681	-0.6686	0.4787	0.7894	0.5123	0.8153	0.5208	0.8294	0.4715	0.7919
4250	0.7028	0.5640	77.9483	0.0046	0.3826	1.0000	144.0000	0.6928	0.6910	0.6067	0.6753	79.9887	0.0001	0.0001	1.0000	144.0000	-0.7881	-0.8412	-0.7182	-0.7099	0.4850	0.7949	0.5497	0.8208	0.5877	0.8455	0.4645	0.7907
4675	0.6185	0.4966	77.9486	0.0040	0.3344	0.9997	144.0000	0.6131	0.6208	0.5711	0.6045	79.9890	0.0001	0.0001	1.0000	144.0000	-0.7493	-0.8177	-0.6925	-0.6562	0.4750	0.7934	0.5048	0.8143	0.5023	0.8240	0.4666	0.7939
5100	0.6486	0.5333	77.9488	0.0042	0.3529	1.0000	144.0000	0.6088	0.6088	0.5444	0.6018	79.9885	0.0001	0.0001	1.0000	144.0000	-0.7280	-0.7978	-0.7040	-0.6783	0.4227	0.7455	0.4568	0.7680	0.4692	0.7808	0.4145	0.7428
5525	0.5284	0.4344	77.9492	0.0034	0.2969	0.9997	144.0000	0.4595	0.4612	0.4087	0.4560	79.9887	0.0001	0.0001	1.0000	144.0000	-0.8151	-0.8531	-0.6771	-0.7536	0.3977	0.7310	0.4110	0.7435	0.3804	0.7286	0.3836	0.7230
5950	0.7122	0.5874	77.9479	0.0046	0.4027	1.0000	144.0000	0.7170	0.7132	0.6379	0.7061	79.9884	0.0001	0.0001	1.0000	144.0000	-0.7994	-0.8443	-0.7237	-0.7316	0.5069	0.8112	0.5463	0.8273	0.5546	0.8374	0.4858	0.8057
6375	0.7494	0.6005	77.9474	0.0049	0.4066	1.0000	144.0000	0.7502	0.7441	0.6485	0.7352	79.9880	0.0001	0.0001	1.0000	144.0000	-0.8182	-0.8541	-0.7569	-0.7465	0.5390	0.8229	0.5741	0.8387	0.5963	0.8541	0.5122	0.8179
6800	0.7349	0.5933	77.9478	0.0048	0.4131	1.0000	144.0000	0.6805	0.6791	0.6109	0.6662	79.9883	0.0001	0.0001	1.0000	144.0000	-0.7980	-0.8490	-0.7697	-0.7231	0.5126	0.8066	0.5539	0.8237	0.5702	0.8384	0.4771	0.8023
7225	0.7389	0.6006	77.9473	0.0048	0.4161	1.0000	144.0000	0.7354	0.7337	0.6463	0.7204	79.9879	0.0001	0.0001	1.0000	144.0000	-0.8080	-0.8379	-0.7413	-0.7546	0.5362	0.8231	0.5570	0.8351	0.5517	0.8407	0.4979	0.8177
7650	0.7091	0.5713	77.9476	0.0046	0.3906	1.0000	144.0000	0.7018	0.7021	0.6283	0.6911	79.9878	0.0001	0.0001	1.0000	144.0000	-0.8248	-0.8570	-0.7473	-0.7675	0.4857	0.7953	0.5141	0.8135	0.5206	0.8272	0.4743	0.7942
8075	0.7523	0.5903	77.9470	0.0049	0.4279	1.0000	144.0000	0.7733	0.7732	0.6854	0.7581	79.9878	0.0001	0.0001	1.0000	144.0000	-0.7796	-0.8014	-0.7080	-0.7067	0.5572	0.8443	0.5786	0.8564	0.5787	0.8634	0.5510	0.8429
8500	0.7693	0.5912	77.9468	0.0050	0.4308	1.0000	144.0000	0.7911	0.7913	0.6947	0.7734	79.9875	0.0001	0.0001	1.0000	144.0000	-0.8004	-0.8218	-0.7362	-0.7224	0.5707	0.8470	0.5906	0.8586	0.5850	0.8639	0.5682	0.8475
8925	0.5057	0.4163	77.9492	0.0033	0.2870	1.0000	144.0000	0.4619	0.4660	0.4297	0.4560	79.9888	0.0001	0.0001	1.0000	144.0000	-0.7816	-0.8251	-0.7174	-0.7071	0.3945	0.7449	0.3971	0.7588	0.3822	0.7629	0.3771	0.7390
9350	0.7727	0.6110	77.9469	0.0050	0.4503	1.0000	144.0000	0.7851	0.7849	0.6844	0.7682	79.9873	0.0001	0.0001	1.0000	144.0000	-0.7943	-0.8072	-0.7103	-0.7404	0.5179	0.8261	0.5371	0.8355	0.5220	0.8355	0.5134	0.8242
9775	0.7665	0.6172	77.9468	0.0050	0.4245	1.0000	144.0000	0.7831	0.7832	0.6791	0.7687	79.9878	0.0001	0.0001	1.0000	144.0000	-0.7964	-0.8104	-0.7139	-0.7220	0.5664	0.8583	0.5870	0.8693	0.5725	0.8711	0.5487	0.8552
10200	0.7722	0.6028	77.9467	0.0050	0.4449	1.0000	144.0000	0.7749	0.7761	0.6676	0.7579	79.9874	0.0001	0.0001	1.0000	144.0000	-0.7785	-0.7938	-0.7151	-0.7191	0.5692	0.8503	0.5906	0.8612	0.5851	0.8671	0.5606	0.8494
10625	0.7744	0.6076	77.9466	0.0050	0.4361	1.0000	144.0000	0.7716	0.7717	0.6630	0.7554	79.9873	0.0001	0.0001	1.0000	144.0000	-0.7386	-0.7494	-0.6749	-0.6773	0.5610	0.8444	0.5866	0.8561	0.5969	0.8654	0.5624	0.8450
11050	0.7384	0.5992	77.9473	0.0048	0.4319	1.0000	144.0000	0.7521	0.7538	0.6796	0.7394	79.9879	0.0001	0.0001	1.0000	144.0000	-0.7983	-0.8155	-0.7283	-0.7356	0.4958	0.8170	0.5244	0.8303	0.5075	0.8296	0.4838	0.8145
11475	0.7543	0.6088	77.9469	0.0049	0.4508	1.0000	144.0000	0.7675	0.7696	0.6819	0.7535	79.9871	0.0001	0.0001	1.0000	144.0000	-0.7806	-0.7761	-0.6769	-0.7203	0.4926	0.8212	0.5119	0.8310	0.5085	0.8349	0.4913	0.8206
11900	0.7750	0.6142	77.9466	0.0050	0.4440	1.0000	144.0000	0.7946	0.7933	0.6749	0.7810	79.9871	0.0001	0.0001	1.0000	144.0000	-0.7598	-0.7722	-0.7074	-0.6930	0.5412	0.8481	0.5729	0.8575	0.5860	0.8668	0.5390	0.8471
12325	0.7659	0.6063	77.9467	0.0050	0.4491	1.0000	144.0000	0.7731	0.7720	0.6633	0.7537	79.9873	0.0001	0.0001	1.0000	144.0000	-0.7858	-0.7987	-0.7210	-0.7249	0.5279	0.8388	0.5423	0.8481	0.5355	0.8544	0.5177	0.8355
12750	0.7756	0.6004	77.9466	0.0050	0.4573	1.0000	144.0000	0.7795	0.7748	0.6560	0.7613	79.9872	0.0001	0.0001	1.0000	144.0000	-0.7318	-0.7216	-0.6648	-0.6489	0.5774	0.8586	0.5992	0.8673	0.6046	0.8767	0.5683	0.8571
13175	0.7790	0.6180	77.9465	0.0051	0.4468	1.0000	144.0000	0.7889	0.7859	0.6530	0.7711	79.9871	0.0001	0.0001	1.0000	144.0000	-0.7483	-0.7544	-0.6975	-0.6744	0.5606	0.8552	0.5835	0.8633	0.5939	0.8734	0.5652	0.8549
13600	0.7733	0.6169	77.9466	0.0050	0.4651	1.0000	144.0000	0.7769	0.7740	0.6564	0.7598	79.9871	0.0001	0.0001	1.0000	144.0000	-0.7689	-0.7654	-0.7039	-0.7056	0.5273	0.8404	0.5516	0.8502	0.5597	0.8585	0.5204	0.8384
14025	0.7807	0.6174	77.9465	0.0051	0.4678	1.0000	144.0000	0.7781	0.7721	0.6313	0.7595	79.9871	0.0001	0.0001	1.0000	144.0000	-0.7452	-0.7421	-0.6931	-0.6679	0.5637	0.8592	0.5891	0.8668	0.6088	0.8782	0.5529	0.8561
14450	0.7827	0.6133	77.9464	0.0051	0.4593	1.0000	144.0000	0.7719	0.7647	0.6209	0.7525	79.9871	0.0001	0.0001	1.0000	144.0000	-0.7113	-0.7037	-0.6605	-0.6396	0.5696	0.8615	0.5829	0.8675	0.5971	0.8775	0.5640	0.8585
14875	0.7852	0.6216	77.9464	0.0051	0.4673	1.0000	144.0000	0.7728	0.7660	0.6200	0.7511	79.9872	0.0001	0.0001	1.0000	144.0000	-0.7243	-0.7218	-0.6735	-0.6368	0.5920	0.8703	0.5983	0.8749	0.6109	0.8827	0.5900	0.8670
15300	0.7821	0.6110	77.9465	0.0051	0.4708	1.0000	144.0000	0.7647	0.7571	0.6211	0.7437	79.9872	0.0001	0.0001	1.0000	144.0000	-0.7023	-0.6947	-0.6577	-0.6175	0.5653	0.8629	0.5829	0.8697	0.6033	0.8790	0.5621	0.8600
15725	0.7753	0.6077	77.9466	0.0050	0.4699	1.0000	144.0000	0.7551	0.7500	0.6301	0.7375	79.9869	0.0001	0.0001	1.0000	144.0000	-0.7066	-0.6949	-0.6602	-0.6201	0.5360	0.8465	0.5547	0.8538	0.5697	0.8634	0.5337	0.8452
16150	0.7761	0.5991	77.9465	0.0050	0.4790	1.0000	144.0000	0.7592	0.7520	0.6234	0.7411	79.9874	0.0001	0.0001	1.0000	144.0000	-0.7080	-0.6943	-0.6478	-0.6222	0.5624	0.8626	0.5873	0.8702	0.6079	0.8810	0.5619	0.8606
16575	0.7810	0.6029	77.9465	0.0051	0.4667	1.0000	144.0000	0.7628	0.7539	0.6217	0.7421	79.9871	0.0001	0.0001	1.0000	144.0000	-0.7129	-0.7019	-0.6616	-0.6307	0.5723	0.8622	0.5852	0.8677	0.5994	0.8765	0.5755	0.8603
17000	0.7801	0.6051	77.9465	0.0051	0.4785	1.0000	144.0000	0.7589	0.7505	0.6162	0.7394	79.9872	0.0001	0.0001	1.0000	144.0000	-0.7110	-0.6940	-0.6563	-0.6168	0.5593	0.8582	0.5805	0.8654	0.5962	0.8741	0.5560	0.8559
17425	0.7824	0.6147	77.9465	0.0051	0.4728	1.0000	144.0000	0.7615	0.7526	0.6154	0.7417	79.9873	0.0001	0.0001	1.0000	144.0000	-0.7001	-0.6866	-0.6521	-0.6130	0.5596	0.8600	0.5835	0.8672	0.6002	0.8764	0.5491	0.8574
17850	0.7830	0.6081	77.9465	0.0051	0.4724	1.0000	144.0000	0.7573	0.7483	0.6123	0.7380	79.9872	0.0001	0.0001	1.0000	144.0000	-0.7081	-0.6922	-0.6533	-0.6137	0.5702	0.8647	0.5925	0.8705	0.6099	0.8793	0.5656	0.8610
18275	0.7812	0.6060	77.9465	0.0051	0.4812	1.0000	144.0000	0.7542	0.7455	0.6136	0.7352	79.9872	0.0001	0.0001	1.0000	144.0000	-0.7093	-0.6952	-0.6571	-0.6169	0.5692	0.8619	0.5888	0.8683	0.6041	0.8768	0.5710	0.8604
18700	0.7815	0.6072	77.9465	0.0051	0.4748	1.0000	144.0000	0.7563	0.7473	0.6159	0.7373	79.9872	0.0001	0.0001	1.0000	144.0000	-0.7029	-0.6847	-0.6511	-0.6014	0.5608	0.8636	0.5854	0.8704	0.6062	0.8799	0.5686	0.8623
19125	0.7824	0.6070	77.9465	0.0051	0.4787	1.0000	144.0000	0.7536	0.7451	0.6115	0.7355	79.9872	0.0001	0.0001	1.0000	144.0000	-0.7151	-0.6958	-0.6581	-0.6168	0.5728	0.8643	0.5903	0.8703	0.6093	0.8798	0.5742	0.8621
19550	0.7824	0.6114	77.9465	0.0051	0.4762	1.0000	144.0000	0.7555	0.7471	0.6130	0.7373	79.9872	0.0001	0.0001	1.0000	144.0000	-0.7160	-0.6970	-0.6594	-0.6194	0.5729	0.8646	0.5979	0.8710	0.6161	0.8799	0.5733	0.8628
19975	0.7821	0.6070	77.9465	0.0051	0.4776	1.0000	144.0000	0.7538	0.7449	0.6124	0.7354	79.9872	0.0001	0.0001	1.0000	144.0000	-0.7142	-0.6940	-0.6565	-0.6185	0.5759	0.8635	0.5935	0.8698	0.6094	0.8787	0.5709	0.8620
20400	0.7827	0.6084	77.9465	0.0051	0.4819	1.0000	144.0000	0.7567	0.7475	0.6142	0.7392	79.9873	0.0001	0.0001	1.0000	144.0000	-0.7065	-0.6932	-0.6573	-0.6073	0.5721	0.8638	0.5914	0.8703	0.6079	0.8794	0.5766	0.8623
20825	0.7812	0.6025	77.9465	0.0051	0.4785	1.0000	144.0000	0.7536	0.7447	0.6130	0.7356	79.9873	0.0001	0.0001	1.0000	144.0000	-0.7169	-0.6975	-0.6608	-0.6194	0.5718	0.8632	0.5964	0.8700	0.6137	0.8787	0.5770	0.8626
21250	0.7815	0.6102	77.9465	0.0051	0.4768	1.0000	144.0000	0.7554	0.7461	0.6132	0.7360	79.9873	0.0001	0.0001	1.0000	144.0000	-0.7120	-0.6958	-0.6613	-0.6078	0.5733	0.8637	0.5957	0.8701	0.6120	0.8785	0.5736	0.8628
21675	0.7815	0.6068	77.9465	0.0051	0.4774	1.0000	144.0000	0.7549	0.7464	0.6147	0.7368	79.9872	0.0001	0.0001	1.0000	144.0000	-0.6968	-0.6852	-0.6511	-0.6065	0.5686	0.8640	0.5924	0.8705	0.6100	0.8792	0.5605	0.8614
22100	0.7824	0.6044	77.9465	0.0051	0.4850	1.0000	144.0000	0.7534	0.7442	0.6125	0.7354	79.9873	0.0001	0.0001	1.0000	144.0000	-0.7032	-0.6952	-0.6630	-0.6050	0.5669	0.8651	0.5884	0.8713	0.6065	0.8804	0.5649	0.8621
22525	0.7824	0.6033	77.9465	0.0051	0.4795	1.0000	144.0000	0.7536	0.7446	0.6136	0.7354	79.9873	0.0001	0.0001	1.0000	144.0000	-0.7082	-0.6911	-0.6573	-0.6060	0.5695	0.8646	0.5958	0.8711	0.6144	0.8800	0.5807	0.8637
22950	0.7827	0.6034	77.9465	0.0051	0.4762	1.0000	144.0000	0.7539	0.7446	0.6134	0.7365	79.9873	0.0001	0.0001	1.0000	144.0000	-0.7063	-0.6952	-0.6647	-0.6056	0.5713	0.8644	0.5950	0.8708	0.6149	0.8803	0.5688	0.8618
