batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
381	0.7810	0.6627	6.1536	0.0048	0.1405	0.9740	3.7489	0.1817	-0.2152	-0.4050	0.1817	-0.2152	-0.4050	0.1817	-0.2152	-0.4050	0.1817	-0.2152	-0.4050	6.1859	0.0050	0.1973	0.9580	4.0487	0.0743	-0.1303	-0.3318	0.0743	-0.1303	-0.3318	0.0743	-0.1303	-0.3318	0.0743	-0.1303	-0.3318	0.6851	0.6105	0.6851	0.6105	0.6851	0.6105	0.6851	0.6105
762	0.8379	0.6779	6.1111	0.0052	0.2378	0.9781	3.7450	0.2071	-0.1425	-0.4442	0.2071	-0.1425	-0.4442	0.2071	-0.1425	-0.4442	0.2071	-0.1425	-0.4442	6.1368	0.0065	0.2807	0.9634	3.8574	0.0859	-0.1180	-0.3937	0.0859	-0.1180	-0.3937	0.0859	-0.1180	-0.3937	0.0859	-0.1180	-0.3937	0.6725	0.6005	0.6725	0.6005	0.6725	0.6005	0.6725	0.6005
1143	0.8230	0.6191	6.1086	0.0041	0.2585	0.9724	3.8770	0.2270	-0.0456	-0.3885	0.2270	-0.0456	-0.3885	0.2270	-0.0456	-0.3885	0.2270	-0.0456	-0.3885	6.1271	0.0049	0.2850	0.9509	3.9952	0.1006	-0.0249	-0.3531	0.1006	-0.0249	-0.3531	0.1006	-0.0249	-0.3531	0.1006	-0.0249	-0.3531	0.6718	0.5868	0.6718	0.5868	0.6718	0.5868	0.6718	0.5868
1524	0.8386	0.6332	6.0991	0.0036	0.2410	0.9731	3.7276	0.2423	-0.0726	-0.3607	0.2423	-0.0726	-0.3607	0.2423	-0.0726	-0.3607	0.2423	-0.0726	-0.3607	6.1160	0.0043	0.2874	0.9567	3.8056	0.1125	-0.1059	-0.3381	0.1125	-0.1059	-0.3381	0.1125	-0.1059	-0.3381	0.1125	-0.1059	-0.3381	0.6700	0.5834	0.6700	0.5834	0.6700	0.5834	0.6700	0.5834
1905	0.8330	0.6535	6.1091	0.0044	0.2574	0.9723	4.0166	0.2370	-0.0479	-0.3485	0.2370	-0.0479	-0.3485	0.2370	-0.0479	-0.3485	0.2370	-0.0479	-0.3485	6.1267	0.0052	0.2776	0.9510	4.1113	0.1158	-0.0418	-0.2880	0.1158	-0.0418	-0.2880	0.1158	-0.0418	-0.2880	0.1158	-0.0418	-0.2880	0.6552	0.5587	0.6552	0.5587	0.6552	0.5587	0.6552	0.5587
2286	0.8429	0.6314	6.0791	0.0038	0.2735	0.9681	3.8791	0.2729	-0.0926	-0.3196	0.2729	-0.0926	-0.3196	0.2729	-0.0926	-0.3196	0.2729	-0.0926	-0.3196	6.0994	0.0053	0.2825	0.9448	3.9880	0.1560	-0.0713	-0.2780	0.1560	-0.0713	-0.2780	0.1560	-0.0713	-0.2780	0.1560	-0.0713	-0.2780	0.6566	0.5665	0.6566	0.5665	0.6566	0.5665	0.6566	0.5665
2667	0.8448	0.6444	6.0864	0.0032	0.2843	0.9693	3.8206	0.2559	-0.1009	-0.3568	0.2559	-0.1009	-0.3568	0.2559	-0.1009	-0.3568	0.2559	-0.1009	-0.3568	6.1108	0.0046	0.2738	0.9491	3.9457	0.1552	-0.0575	-0.2410	0.1552	-0.0575	-0.2410	0.1552	-0.0575	-0.2410	0.1552	-0.0575	-0.2410	0.6620	0.5728	0.6620	0.5728	0.6620	0.5728	0.6620	0.5728
3048	0.8443	0.6382	6.0867	0.0038	0.2750	0.9705	3.8034	0.2773	-0.0306	-0.3156	0.2773	-0.0306	-0.3156	0.2773	-0.0306	-0.3156	0.2773	-0.0306	-0.3156	6.1032	0.0049	0.2906	0.9545	3.8659	0.1659	-0.0558	-0.2632	0.1659	-0.0558	-0.2632	0.1659	-0.0558	-0.2632	0.1659	-0.0558	-0.2632	0.6577	0.5675	0.6577	0.5675	0.6577	0.5675	0.6577	0.5675
3429	0.8496	0.6434	6.0903	0.0035	0.2448	0.9706	3.8558	0.2325	-0.1114	-0.3868	0.2325	-0.1114	-0.3868	0.2325	-0.1114	-0.3868	0.2325	-0.1114	-0.3868	6.1141	0.0049	0.2915	0.9511	3.9627	0.0939	-0.1372	-0.3939	0.0939	-0.1372	-0.3939	0.0939	-0.1372	-0.3939	0.0939	-0.1372	-0.3939	0.7166	0.6228	0.7166	0.6228	0.7166	0.6228	0.7166	0.6228
3810	0.8463	0.6382	6.0744	0.0033	0.2593	0.9740	3.9963	0.2602	-0.1059	-0.3270	0.2602	-0.1059	-0.3270	0.2602	-0.1059	-0.3270	0.2602	-0.1059	-0.3270	6.0954	0.0052	0.2980	0.9518	4.1059	0.1529	-0.0529	-0.2296	0.1529	-0.0529	-0.2296	0.1529	-0.0529	-0.2296	0.1529	-0.0529	-0.2296	0.6507	0.5483	0.6507	0.5483	0.6507	0.5483	0.6507	0.5483
