batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
381	0.7199	0.3578	6.5038	0.0252	0.2887	0.9972	11.5817	0.3187	-0.0261	0.1206	0.2876	-0.0128	0.1074	0.2040	-0.0642	0.0142	0.3207	-0.0011	0.1274	0.0420	-0.0422	-0.0397	0.1212	-0.0038	0.0564	6.5378	0.0260	0.3089	0.9898	11.8543	0.1814	0.0214	-0.0370	0.1422	-0.0461	-0.0594	0.0598	-0.0940	-0.1215	0.1768	-0.0326	-0.0654	-0.0021	0.0176	-0.0128	0.0347	0.0122	-0.0112	0.7097	0.6434	0.7175	0.6564	0.7373	0.6779	0.7148	0.6487	0.6671	0.6110	0.6938	0.6487
762	0.9237	0.6776	6.1146	0.0069	0.1745	0.9973	4.7792	0.2794	-0.0850	-0.0655	0.2707	-0.0838	-0.0525	0.2380	-0.0816	-0.0329	0.2807	-0.0892	-0.0612	0.1636	-0.2314	-0.2793	0.1463	-0.2128	-0.2623	6.1605	0.0078	0.2083	0.9950	5.5807	0.1296	-0.1360	-0.2141	0.1191	-0.1465	-0.2005	0.0952	-0.1576	-0.1882	0.1284	-0.1468	-0.2118	0.0551	-0.1530	-0.3053	0.0404	-0.2009	-0.2973	0.7289	0.6544	0.7379	0.6696	0.7412	0.6793	0.7257	0.6529	0.7191	0.6508	0.7408	0.6842
1143	0.9064	0.6696	6.1173	0.0062	0.1778	0.9960	4.0494	0.2176	-0.1118	-0.2363	0.2028	-0.1115	-0.2152	0.1482	-0.0921	-0.1177	0.2156	-0.1108	-0.2384	0.1297	-0.2307	-0.3409	0.0949	-0.2033	-0.3193	6.1583	0.0067	0.2123	0.9925	4.7471	0.0899	-0.1231	-0.3026	0.0764	-0.1353	-0.2925	0.0382	-0.1330	-0.2369	0.0889	-0.1392	-0.3084	0.0412	-0.1559	-0.3347	0.0161	-0.1680	-0.3359	0.7106	0.6310	0.7250	0.6530	0.7339	0.6720	0.7120	0.6321	0.6821	0.6177	0.6984	0.6392
1524	0.8944	0.6663	6.1553	0.0080	0.1892	0.9969	4.7307	0.1577	-0.1991	-0.3771	0.1362	-0.2098	-0.3661	0.0710	-0.2303	-0.3277	0.1565	-0.2079	-0.3763	0.0894	-0.2186	-0.3872	0.0420	-0.2224	-0.3684	6.2001	0.0084	0.2141	0.9951	5.4802	0.0454	-0.2108	-0.3981	0.0236	-0.2181	-0.3991	-0.0244	-0.2551	-0.3737	0.0455	-0.2256	-0.3944	0.0194	-0.1468	-0.3581	-0.0223	-0.2027	-0.3954	0.7305	0.6548	0.7443	0.6733	0.7612	0.6929	0.7335	0.6584	0.6803	0.6125	0.7120	0.6366
1905	0.8893	0.6624	6.1659	0.0084	0.2003	0.9963	5.0915	0.1386	-0.1788	-0.4045	0.1184	-0.1880	-0.4002	0.0505	-0.1943	-0.3540	0.1400	-0.1633	-0.3931	0.0585	-0.2184	-0.3685	0.0150	-0.2269	-0.3526	6.2062	0.0085	0.2428	0.9940	5.7362	0.0324	-0.1330	-0.4166	0.0127	-0.1359	-0.4218	-0.0379	-0.1665	-0.4009	0.0272	-0.1455	-0.4202	-0.0147	-0.1735	-0.3601	-0.0447	-0.1624	-0.3723	0.7153	0.6449	0.7249	0.6588	0.7438	0.6800	0.7203	0.6485	0.6876	0.6085	0.6898	0.6172
2286	0.8871	0.6613	6.1826	0.0093	0.2032	0.9962	5.5607	0.1300	-0.1869	-0.4194	0.1095	-0.1923	-0.4230	0.0457	-0.2081	-0.3976	0.1279	-0.1722	-0.4197	0.0447	-0.1954	-0.3445	-0.0044	-0.2130	-0.3479	6.2248	0.0093	0.2370	0.9935	6.1744	0.0243	-0.1449	-0.4248	0.0061	-0.1523	-0.4375	-0.0433	-0.1795	-0.4303	0.0220	-0.1449	-0.4315	-0.0187	-0.1298	-0.3368	-0.0592	-0.1444	-0.3496	0.7094	0.6382	0.7282	0.6564	0.7399	0.6695	0.7153	0.6430	0.6752	0.5945	0.6839	0.6051
2667	0.8799	0.6620	6.1931	0.0097	0.1951	0.9964	5.7990	0.1188	-0.1995	-0.4377	0.0982	-0.2045	-0.4411	0.0442	-0.2148	-0.4221	0.1184	-0.2035	-0.4351	0.0150	-0.1769	-0.3126	-0.0464	-0.1831	-0.2952	6.2345	0.0097	0.2444	0.9933	6.3363	0.0218	-0.1574	-0.4430	0.0024	-0.1644	-0.4574	-0.0441	-0.1817	-0.4520	0.0193	-0.1608	-0.4469	-0.0428	-0.1240	-0.3151	-0.0842	-0.1210	-0.3204	0.7041	0.6324	0.7128	0.6411	0.7299	0.6558	0.7015	0.6328	0.6654	0.5912	0.6726	0.5946
3048	0.8764	0.6994	6.1937	0.0092	0.1857	0.9962	5.7037	0.1376	-0.1962	-0.4337	0.1175	-0.2095	-0.4422	0.0428	-0.2132	-0.4176	0.1371	-0.1937	-0.4307	0.0672	-0.1311	-0.3015	0.0260	-0.1818	-0.3250	6.2366	0.0090	0.2119	0.9939	6.2058	0.0414	-0.1611	-0.4413	0.0179	-0.1596	-0.4537	-0.0386	-0.1742	-0.4463	0.0382	-0.1662	-0.4382	-0.0023	-0.1115	-0.3090	-0.0385	-0.1049	-0.3065	0.7078	0.6364	0.7244	0.6453	0.7360	0.6540	0.7122	0.6381	0.6586	0.5746	0.6684	0.5896
3429	0.8709	0.6947	6.1950	0.0093	0.1879	0.9968	5.9345	0.1382	-0.1862	-0.4355	0.1193	-0.2060	-0.4400	0.0532	-0.2274	-0.4254	0.1373	-0.1855	-0.4305	0.0558	-0.1340	-0.2836	0.0167	-0.1602	-0.2796	6.2384	0.0089	0.2130	0.9940	6.4600	0.0415	-0.1661	-0.4359	0.0223	-0.1518	-0.4429	-0.0262	-0.1725	-0.4452	0.0398	-0.1667	-0.4319	-0.0145	-0.1006	-0.2817	-0.0385	-0.1231	-0.2898	0.7020	0.6304	0.7112	0.6378	0.7293	0.6533	0.7063	0.6337	0.6643	0.5815	0.6558	0.5721
3810	0.8716	0.7025	6.1929	0.0090	0.1938	0.9964	5.9717	0.1288	-0.1884	-0.4488	0.1142	-0.1930	-0.4434	0.0563	-0.2204	-0.4280	0.1283	-0.2036	-0.4486	0.0473	-0.1012	-0.2395	0.0080	-0.1413	-0.2489	6.2371	0.0084	0.2423	0.9937	6.4603	0.0350	-0.1647	-0.4450	0.0209	-0.1670	-0.4616	-0.0200	-0.1819	-0.4470	0.0341	-0.1690	-0.4463	-0.0154	-0.0914	-0.2667	-0.0426	-0.1173	-0.2790	0.7051	0.6339	0.7159	0.6405	0.7335	0.6563	0.7085	0.6362	0.6595	0.5693	0.6530	0.5721
