batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
425	0.2974	0.2225	77.9539	0.0000	0.0004	0.9935	27180.6315	0.0970	0.0970	0.0970	0.0970	79.9926	0.0000	0.0000	0.9919	27174.6220	-0.2763	-0.2763	-0.2763	-0.2763	0.2038	0.4512	0.2038	0.4512	0.2038	0.4512	0.2038	0.4512
850	0.6710	0.5264	77.2369	0.0000	0.0009	0.8614	366.1628	0.6559	0.6559	0.6559	0.6559	79.5282	0.0000	0.0000	0.2218	2862.2873	-0.8867	-0.8867	-0.8867	-0.8867	0.5896	0.8388	0.5896	0.8388	0.5896	0.8388	0.5896	0.8388
1275	0.7372	0.5947	77.1067	0.0000	0.0007	0.8338	48.9497	0.7860	0.7860	0.7860	0.7860	79.4322	0.0000	0.0000	0.0091	360.2117	-0.8785	-0.8785	-0.8785	-0.8785	0.6000	0.8544	0.6000	0.8544	0.6000	0.8544	0.6000	0.8544
1700	0.7557	0.5860	77.0777	0.0000	0.0006	0.8349	16.7767	0.8090	0.8090	0.8090	0.8090	79.3871	0.0000	0.0000	0.0081	371.6401	-0.8792	-0.8792	-0.8792	-0.8792	0.6053	0.8619	0.6053	0.8619	0.6053	0.8619	0.6053	0.8619
2125	0.7670	0.6126	77.0534	0.0000	0.0006	0.8301	20.4403	0.8202	0.8202	0.8202	0.8202	79.3714	0.0000	0.0000	0.0010	88.0958	-0.8859	-0.8859	-0.8859	-0.8859	0.6107	0.8705	0.6107	0.8705	0.6107	0.8705	0.6107	0.8705
2550	0.7673	0.6191	77.0510	0.0000	0.0006	0.8222	11.5054	0.8234	0.8234	0.8234	0.8234	79.3520	0.0000	0.0000	0.0050	67.3609	-0.8861	-0.8861	-0.8861	-0.8861	0.6251	0.8660	0.6251	0.8660	0.6251	0.8660	0.6251	0.8660
2975	0.7753	0.6253	77.0373	0.0000	0.0006	0.8253	6.3719	0.8486	0.8486	0.8486	0.8486	79.3475	0.0000	0.0000	0.0010	17.3881	-0.8943	-0.8943	-0.8943	-0.8943	0.6461	0.8801	0.6461	0.8801	0.6461	0.8801	0.6461	0.8801
3400	0.7690	0.6099	77.0364	0.0000	0.0006	0.8210	6.2991	0.8194	0.8194	0.8194	0.8194	79.3145	0.0000	0.0000	0.0000	8.8196	-0.8906	-0.8906	-0.8906	-0.8906	0.6019	0.8674	0.6019	0.8674	0.6019	0.8674	0.6019	0.8674
3825	0.7693	0.6115	77.0386	0.0000	0.0006	0.8185	2.9301	0.8298	0.8298	0.8298	0.8298	79.3289	0.0000	0.0000	0.0000	15.3528	-0.8909	-0.8909	-0.8909	-0.8909	0.5969	0.8704	0.5969	0.8704	0.5969	0.8704	0.5969	0.8704
4250	0.7608	0.6107	77.0417	0.0000	0.0006	0.8142	4.5429	0.8368	0.8368	0.8368	0.8368	79.3202	0.0000	0.0000	0.0000	5.5736	-0.8905	-0.8905	-0.8905	-0.8905	0.5798	0.8606	0.5798	0.8606	0.5798	0.8606	0.5798	0.8606
4675	0.7716	0.6125	77.0277	0.0000	0.0006	0.8185	1.5696	0.8465	0.8465	0.8465	0.8465	79.3227	0.0000	0.0000	0.0000	14.0817	-0.8871	-0.8871	-0.8871	-0.8871	0.6491	0.8808	0.6491	0.8808	0.6491	0.8808	0.6491	0.8808
5100	0.7736	0.6216	77.0244	0.0000	0.0006	0.8151	1.5202	0.8334	0.8334	0.8334	0.8334	79.2945	0.0000	0.0000	0.0000	4.3004	-0.8957	-0.8957	-0.8957	-0.8957	0.6292	0.8749	0.6292	0.8749	0.6292	0.8749	0.6292	0.8749
5525	0.7665	0.6322	77.0366	0.0000	0.0006	0.8099	1.6520	0.8282	0.8282	0.8282	0.8282	79.2972	0.0000	0.0000	0.0000	4.0091	-0.8864	-0.8864	-0.8864	-0.8864	0.5598	0.8590	0.5598	0.8590	0.5598	0.8590	0.5598	0.8590
5950	0.7699	0.6249	77.0287	0.0000	0.0006	0.8159	1.5619	0.8431	0.8431	0.8431	0.8431	79.2966	0.0000	0.0000	0.0000	4.2490	-0.8915	-0.8915	-0.8915	-0.8915	0.6032	0.8718	0.6032	0.8718	0.6032	0.8718	0.6032	0.8718
6375	0.7741	0.6252	77.0230	0.0000	0.0006	0.8170	1.4986	0.8485	0.8485	0.8485	0.8485	79.2915	0.0000	0.0000	0.0000	4.0877	-0.8921	-0.8921	-0.8921	-0.8921	0.6205	0.8793	0.6205	0.8793	0.6205	0.8793	0.6205	0.8793
6800	0.7739	0.6220	77.0221	0.0000	0.0006	0.8179	1.4787	0.8454	0.8454	0.8454	0.8454	79.2898	0.0000	0.0000	0.0000	4.0605	-0.8961	-0.8961	-0.8961	-0.8961	0.6215	0.8805	0.6215	0.8805	0.6215	0.8805	0.6215	0.8805
7225	0.7781	0.6301	77.0212	0.0000	0.0006	0.8176	1.4835	0.8501	0.8501	0.8501	0.8501	79.2863	0.0000	0.0000	0.0000	4.0181	-0.8988	-0.8988	-0.8988	-0.8988	0.6183	0.8817	0.6183	0.8817	0.6183	0.8817	0.6183	0.8817
7650	0.7793	0.6286	77.0209	0.0000	0.0006	0.8182	1.4841	0.8508	0.8508	0.8508	0.8508	79.2818	0.0000	0.0000	0.0000	4.0050	-0.9010	-0.9010	-0.9010	-0.9010	0.6129	0.8813	0.6129	0.8813	0.6129	0.8813	0.6129	0.8813
8075	0.7798	0.6267	77.0194	0.0000	0.0006	0.8176	1.4628	0.8503	0.8503	0.8503	0.8503	79.2787	0.0000	0.0000	0.0000	3.9325	-0.8961	-0.8961	-0.8961	-0.8961	0.6160	0.8816	0.6160	0.8816	0.6160	0.8816	0.6160	0.8816
