batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
136	0.9135	0.0768	16.7916	0.0239	0.2186	0.9983	15.3118	0.5094	-0.1966	-0.2744	0.5094	-0.1966	-0.2744	0.5094	-0.1966	-0.2744	0.5094	-0.1966	-0.2744	16.8622	0.0266	0.1660	0.9973	15.9607	0.1455	-0.1175	-0.3303	0.1455	-0.1175	-0.3303	0.1455	-0.1175	-0.3303	0.1455	-0.1175	-0.3303	0.5118	0.9127	0.5118	0.9127	0.5118	0.9127	0.5118	0.9127
272	0.8839	0.1037	16.6289	0.0135	0.1769	0.9980	9.5171	0.5010	-0.2409	-0.3440	0.5010	-0.2409	-0.3440	0.5010	-0.2409	-0.3440	0.5010	-0.2409	-0.3440	16.7157	0.0155	0.1363	0.9966	11.5602	0.1033	-0.2702	-0.4452	0.1033	-0.2702	-0.4452	0.1033	-0.2702	-0.4452	0.1033	-0.2702	-0.4452	0.7205	0.9494	0.7205	0.9494	0.7205	0.9494	0.7205	0.9494
408	0.8895	0.1427	16.5851	0.0108	0.1696	0.9977	7.6188	0.5051	-0.2742	-0.3874	0.5051	-0.2742	-0.3874	0.5051	-0.2742	-0.3874	0.5051	-0.2742	-0.3874	16.6874	0.0133	0.1186	0.9959	9.9839	0.0965	-0.3890	-0.5154	0.0965	-0.3890	-0.5154	0.0965	-0.3890	-0.5154	0.0965	-0.3890	-0.5154	0.6990	0.9343	0.6990	0.9343	0.6990	0.9343	0.6990	0.9343
544	0.9207	0.1744	16.4956	0.0077	0.1886	0.9963	5.5468	0.5234	-0.2794	-0.3877	0.5234	-0.2794	-0.3877	0.5234	-0.2794	-0.3877	0.5234	-0.2794	-0.3877	16.5818	0.0109	0.1377	0.9943	7.7071	0.1430	-0.3184	-0.5193	0.1430	-0.3184	-0.5193	0.1430	-0.3184	-0.5193	0.1430	-0.3184	-0.5193	0.6242	0.9171	0.6242	0.9171	0.6242	0.9171	0.6242	0.9171
680	0.9157	0.1958	16.5162	0.0084	0.1744	0.9964	5.9736	0.5249	-0.2505	-0.3712	0.5249	-0.2505	-0.3712	0.5249	-0.2505	-0.3712	0.5249	-0.2505	-0.3712	16.5888	0.0106	0.1311	0.9939	7.6805	0.1475	-0.2518	-0.5057	0.1475	-0.2518	-0.5057	0.1475	-0.2518	-0.5057	0.1475	-0.2518	-0.5057	0.6392	0.9247	0.6392	0.9247	0.6392	0.9247	0.6392	0.9247
816	0.9127	0.2003	16.5142	0.0081	0.1709	0.9962	5.7512	0.5255	-0.2235	-0.3499	0.5255	-0.2235	-0.3499	0.5255	-0.2235	-0.3499	0.5255	-0.2235	-0.3499	16.5743	0.0096	0.1342	0.9927	7.0657	0.1534	-0.2057	-0.4877	0.1534	-0.2057	-0.4877	0.1534	-0.2057	-0.4877	0.1534	-0.2057	-0.4877	0.6183	0.9223	0.6183	0.9223	0.6183	0.9223	0.6183	0.9223
952	0.9254	0.2193	16.4580	0.0061	0.1834	0.9947	4.4216	0.5378	-0.2218	-0.3355	0.5378	-0.2218	-0.3355	0.5378	-0.2218	-0.3355	0.5378	-0.2218	-0.3355	16.5023	0.0072	0.1476	0.9918	5.4569	0.1818	-0.1860	-0.4947	0.1818	-0.1860	-0.4947	0.1818	-0.1860	-0.4947	0.1818	-0.1860	-0.4947	0.5192	0.9000	0.5192	0.9000	0.5192	0.9000	0.5192	0.9000
1088	0.9233	0.2350	16.4810	0.0070	0.1878	0.9955	4.8698	0.5344	-0.2057	-0.3198	0.5344	-0.2057	-0.3198	0.5344	-0.2057	-0.3198	0.5344	-0.2057	-0.3198	16.5253	0.0080	0.1432	0.9909	5.8024	0.1840	-0.1553	-0.4829	0.1840	-0.1553	-0.4829	0.1840	-0.1553	-0.4829	0.1840	-0.1553	-0.4829	0.5205	0.9033	0.5205	0.9033	0.5205	0.9033	0.5205	0.9033
1224	0.9214	0.2457	16.4904	0.0073	0.1875	0.9961	5.0428	0.5319	-0.1979	-0.3050	0.5319	-0.1979	-0.3050	0.5319	-0.1979	-0.3050	0.5319	-0.1979	-0.3050	16.5348	0.0084	0.1457	0.9911	5.8745	0.1873	-0.1101	-0.4671	0.1873	-0.1101	-0.4671	0.1873	-0.1101	-0.4671	0.1873	-0.1101	-0.4671	0.5210	0.9054	0.5210	0.9054	0.5210	0.9054	0.5210	0.9054
1360	0.9307	0.2503	16.4428	0.0056	0.1943	0.9945	4.1717	0.5445	-0.2109	-0.3009	0.5445	-0.2109	-0.3009	0.5445	-0.2109	-0.3009	0.5445	-0.2109	-0.3009	16.4772	0.0065	0.1580	0.9898	4.8952	0.2097	-0.0868	-0.4768	0.2097	-0.0868	-0.4768	0.2097	-0.0868	-0.4768	0.2097	-0.0868	-0.4768	0.4458	0.8831	0.4458	0.8831	0.4458	0.8831	0.4458	0.8831
