batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.0085	0.0001	77.9564	0.0001	0.0017	0.9435	144.0000	-0.0647	-0.0362	-0.0394	-0.0333	-0.0898	0.0446	79.9933	0.0000	0.0000	1.0000	144.0000	0.1246	0.0582	0.1059	0.1216	0.2049	0.0967	0.2121	0.4435	0.2093	0.4668	0.1990	0.4620	0.2344	0.5068	0.2772	0.5518	0.2202	0.5033
850	0.0116	0.0008	77.9564	0.0001	0.0124	0.9480	144.0000	0.0173	0.0310	0.0034	0.1032	-0.0019	0.0350	79.9933	0.0000	0.0000	0.9899	144.0000	0.0484	-0.1642	0.2669	0.0522	0.1404	0.1144	0.2060	0.4872	0.2223	0.5079	0.2038	0.5026	0.2241	0.5105	0.1739	0.4032	0.2240	0.5092
1275	0.0102	0.0020	77.9564	0.0001	0.0082	0.9756	144.0000	0.0282	0.0373	-0.0451	0.0270	-0.0870	-0.0203	79.9933	0.0000	0.0000	0.9748	144.0000	0.1792	-0.2421	0.2865	0.2149	0.0498	0.0208	0.1974	0.4781	0.2337	0.5360	0.1758	0.4047	0.2256	0.5147	0.1770	0.4075	0.2078	0.4630
1700	0.0190	0.0066	77.9564	0.0002	0.0146	0.9849	144.0000	0.0660	0.0188	0.0317	0.0276	-0.0412	0.0205	79.9933	0.0000	0.0000	0.9486	144.0000	0.1009	-0.1503	0.1499	0.1084	0.0618	0.0168	0.2002	0.4602	0.2105	0.4756	0.1756	0.4160	0.2032	0.4432	0.2157	0.4916	0.2178	0.4973
2125	0.0267	0.0088	77.9564	0.0002	0.0169	0.9855	144.0000	0.0425	-0.0311	0.0064	-0.0337	-0.0604	0.0289	79.9933	0.0000	0.0000	0.9667	144.0000	0.0726	-0.0514	0.1045	0.0765	0.0434	0.0197	0.2089	0.4609	0.2268	0.5222	0.1803	0.4262	0.1893	0.4236	0.2126	0.4922	0.2054	0.4619
2550	0.0156	0.0030	77.9564	0.0002	0.0154	0.9872	144.0000	0.0180	-0.0280	0.0075	-0.0739	-0.0145	0.0040	79.9933	0.0000	0.0000	0.9516	144.0000	0.0135	-0.0669	0.0283	-0.0052	0.0100	0.0065	0.1727	0.3766	0.2257	0.5162	0.1691	0.3726	0.2175	0.4607	0.2052	0.4904	0.1918	0.4248
2975	0.0273	0.0061	77.9564	0.0002	0.0139	0.9872	144.0000	-0.0533	0.0178	0.0442	-0.0504	0.0531	-0.0892	79.9933	0.0000	0.0000	0.9325	144.0000	-0.0443	-0.0395	0.0143	-0.0236	0.0795	0.0309	0.1888	0.4322	0.2165	0.4845	0.2249	0.4809	0.1900	0.4059	0.1778	0.4038	0.1884	0.4209
3400	0.0102	0.0042	77.9564	0.0001	0.0112	0.9872	144.0000	-0.0833	-0.0140	-0.0318	-0.0540	-0.0745	-0.0242	79.9933	0.0000	0.0001	0.9304	144.0000	-0.0552	-0.0374	-0.0063	0.0011	0.0462	0.0177	0.2768	0.5094	0.2058	0.4679	0.1801	0.4274	0.1975	0.4454	0.1793	0.4244	0.2028	0.4593
3825	0.0372	0.0187	77.9564	0.0002	0.0123	0.9832	144.0000	0.0194	0.0366	-0.0053	-0.0286	-0.0340	-0.0143	79.9933	0.0000	0.0001	0.9587	144.0000	0.0074	-0.0581	-0.0093	0.0194	0.0404	0.0563	0.1990	0.4329	0.2278	0.5108	0.1775	0.4137	0.1989	0.4299	0.1715	0.3956	0.1893	0.4254
4250	0.0122	0.0070	77.9564	0.0002	0.0125	0.9866	144.0000	-0.0370	0.0582	-0.0150	-0.0360	0.0039	-0.0502	79.9933	0.0000	0.0000	0.9284	144.0000	-0.0271	0.0443	-0.0076	0.0225	-0.0038	0.0228	0.1851	0.4330	0.3128	0.5893	0.1843	0.4212	0.2076	0.4660	0.1924	0.4625	0.1924	0.4482
