batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.0162	0.0025	77.9413	0.0002	0.0231	0.8571	126.7940	0.1296	0.1201	0.1189	0.0218	-0.0697	-0.0746	79.9790	0.0001	0.0001	0.0000	126.9244	-0.5651	-0.6275	-0.6412	-0.0526	0.2254	0.2204	0.2605	0.5814	0.2455	0.5682	0.2440	0.5650	0.2193	0.4988	0.2581	0.5452	0.2588	0.5427
850	0.1500	0.0948	77.8757	0.0012	0.0872	0.8801	84.0472	0.3666	0.3275	0.2656	0.2928	-0.1947	-0.0241	79.9442	0.0004	0.0004	0.0000	97.2681	-0.3705	-0.4960	-0.4839	-0.1499	0.2436	-0.0399	0.3857	0.7169	0.3853	0.7289	0.3714	0.7198	0.3159	0.6638	0.1847	0.4560	0.2350	0.5653
1275	0.4955	0.3862	77.6133	0.0022	0.2025	0.8818	35.1378	0.6039	0.5892	0.4666	0.5723	0.1472	0.3765	79.8330	0.0011	0.0011	0.0000	56.9022	-0.5209	-0.5840	-0.5164	-0.3656	0.2861	-0.1614	0.5151	0.8220	0.5578	0.8520	0.5509	0.8490	0.4823	0.8091	0.2805	0.6196	0.5004	0.8078
1700	0.6392	0.5069	77.4399	0.0018	0.1979	0.8812	21.1580	0.6578	0.6776	0.5944	0.6356	0.4294	0.5589	79.7997	0.0013	0.0013	0.0000	49.3700	-0.4738	-0.5185	-0.4922	-0.3769	0.3591	-0.1388	0.6810	0.8891	0.7130	0.9060	0.7075	0.9080	0.6119	0.8785	0.3431	0.7024	0.6366	0.8879
2125	0.7185	0.5757	77.3635	0.0016	0.1823	0.8804	15.5690	0.7149	0.7303	0.6583	0.6901	0.5440	0.6619	79.7588	0.0016	0.0016	0.0000	41.9688	-0.5535	-0.6247	-0.6162	-0.4493	0.2699	-0.2960	0.6294	0.8814	0.6583	0.8984	0.6616	0.9028	0.5979	0.8754	0.3727	0.7385	0.6337	0.8922
2550	0.7474	0.5968	77.3068	0.0013	0.1465	0.8818	13.5915	0.7321	0.7557	0.6963	0.7123	0.6402	0.7319	79.7608	0.0016	0.0016	0.0000	43.5534	-0.5490	-0.6132	-0.6033	-0.4421	0.2964	-0.2759	0.6966	0.9025	0.7201	0.9146	0.7187	0.9185	0.6452	0.8952	0.3910	0.7635	0.6712	0.9044
2975	0.7486	0.6123	77.2990	0.0013	0.1522	0.8824	13.0088	0.7196	0.7395	0.6709	0.7018	0.6179	0.7112	79.7380	0.0017	0.0017	0.0000	40.6683	-0.5812	-0.6428	-0.6387	-0.5004	0.2823	-0.3035	0.6273	0.8816	0.6674	0.8979	0.6828	0.9060	0.5955	0.8755	0.4115	0.7663	0.6738	0.9019
3400	0.7614	0.6226	77.3076	0.0014	0.1554	0.8835	14.2409	0.7286	0.7469	0.7059	0.7105	0.6200	0.7314	79.7506	0.0016	0.0016	0.0000	43.8306	-0.5536	-0.6165	-0.6155	-0.4732	0.3323	-0.2306	0.6666	0.8904	0.7060	0.9063	0.7180	0.9145	0.6285	0.8846	0.3752	0.7399	0.6570	0.8979
3825	0.7682	0.6438	77.2795	0.0013	0.1513	0.8830	12.1940	0.7196	0.7374	0.6853	0.7017	0.6480	0.7404	79.7439	0.0017	0.0017	0.0000	40.0847	-0.5598	-0.6140	-0.6147	-0.4953	0.2860	-0.2636	0.6862	0.9013	0.7176	0.9120	0.7195	0.9160	0.6464	0.8949	0.4251	0.7863	0.6535	0.9059
4250	0.7679	0.6224	77.2576	0.0012	0.1380	0.8832	11.6656	0.7422	0.7607	0.7071	0.7233	0.6769	0.7551	79.7431	0.0016	0.0017	0.0000	41.7661	-0.5476	-0.6098	-0.6108	-0.4664	0.2348	-0.2870	0.6967	0.9016	0.7369	0.9151	0.7510	0.9219	0.6615	0.8977	0.4196	0.7822	0.7016	0.9104
4675	0.7866	0.6372	77.2222	0.0011	0.1266	0.8827	9.3747	0.7460	0.7601	0.7056	0.7274	0.7233	0.7740	79.7026	0.0019	0.0020	0.0000	34.2127	-0.6401	-0.7126	-0.7077	-0.5548	0.1536	-0.3880	0.6564	0.8897	0.6883	0.9025	0.6960	0.9085	0.6239	0.8827	0.4872	0.8193	0.6925	0.9071
5100	0.7773	0.6186	77.2563	0.0012	0.1429	0.8815	11.2276	0.7282	0.7458	0.7152	0.7134	0.6679	0.7514	79.7291	0.0017	0.0018	0.0000	40.5675	-0.5872	-0.6447	-0.6414	-0.5062	0.2421	-0.3541	0.7049	0.8990	0.7330	0.9114	0.7427	0.9179	0.6596	0.8929	0.3700	0.7567	0.6567	0.9014
5525	0.7852	0.6542	77.2545	0.0012	0.1387	0.8795	11.4327	0.7259	0.7460	0.7158	0.7054	0.7071	0.7612	79.7335	0.0017	0.0018	0.0000	37.8024	-0.5044	-0.5505	-0.5506	-0.4568	0.2714	-0.2551	0.7036	0.9074	0.7377	0.9186	0.7519	0.9252	0.6570	0.9003	0.5056	0.8287	0.7232	0.9195
5950	0.7912	0.6392	77.2324	0.0011	0.1294	0.8832	10.9142	0.7306	0.7501	0.7285	0.7140	0.6981	0.7674	79.7406	0.0016	0.0017	0.0000	42.1845	-0.5581	-0.6229	-0.6306	-0.4755	0.2714	-0.2574	0.7121	0.9070	0.7357	0.9178	0.7541	0.9247	0.6653	0.8992	0.4467	0.8005	0.7227	0.9195
6375	0.7920	0.6445	77.2301	0.0011	0.1320	0.8818	10.3412	0.7310	0.7476	0.7206	0.7130	0.7030	0.7753	79.7196	0.0018	0.0019	0.0000	37.4929	-0.5610	-0.6119	-0.6185	-0.5028	0.2289	-0.2839	0.7337	0.9050	0.7746	0.9178	0.7780	0.9238	0.6772	0.8960	0.4548	0.7999	0.7166	0.9125
6800	0.8020	0.6433	77.2181	0.0011	0.1291	0.8807	9.6097	0.7171	0.7329	0.7220	0.7035	0.7095	0.7703	79.7097	0.0019	0.0019	0.0000	37.5565	-0.5931	-0.6485	-0.6402	-0.5308	0.1325	-0.3914	0.7180	0.9064	0.7304	0.9156	0.7209	0.9177	0.6801	0.9007	0.4050	0.7804	0.6990	0.9058
7225	0.7977	0.6424	77.1887	0.0009	0.1134	0.8838	9.1614	0.7459	0.7653	0.7566	0.7268	0.7556	0.7830	79.7085	0.0018	0.0019	0.0000	36.7046	-0.6063	-0.6665	-0.6666	-0.5364	0.1750	-0.3666	0.7163	0.9093	0.7356	0.9176	0.7323	0.9199	0.6996	0.9058	0.5325	0.8491	0.7036	0.9183
7650	0.8028	0.6288	77.1929	0.0010	0.1137	0.8801	8.6034	0.7129	0.7309	0.7236	0.6940	0.7400	0.7808	79.7039	0.0019	0.0020	0.0000	35.3972	-0.6139	-0.6533	-0.6381	-0.5431	0.1767	-0.3757	0.7039	0.9088	0.7366	0.9193	0.7408	0.9249	0.6586	0.9026	0.5016	0.8335	0.7157	0.9196
8075	0.8063	0.6486	77.1651	0.0009	0.1077	0.8798	6.6952	0.7251	0.7399	0.7230	0.7059	0.7504	0.7853	79.6874	0.0019	0.0021	0.0000	30.6381	-0.6107	-0.6698	-0.6683	-0.5335	0.0737	-0.4176	0.7030	0.9054	0.7434	0.9163	0.7490	0.9208	0.6686	0.9002	0.5249	0.8384	0.7367	0.9176
8500	0.8068	0.6496	77.1562	0.0008	0.0982	0.8776	6.2091	0.7446	0.7599	0.7375	0.7261	0.7756	0.7975	79.6864	0.0019	0.0021	0.0000	27.8901	-0.6219	-0.6817	-0.6878	-0.5635	0.0862	-0.4271	0.7286	0.9084	0.7547	0.9192	0.7555	0.9237	0.6870	0.9031	0.5550	0.8612	0.7474	0.9250
8925	0.8099	0.6421	77.1527	0.0008	0.1023	0.8773	6.0881	0.7324	0.7449	0.7197	0.7152	0.7642	0.7826	79.6639	0.0021	0.0022	0.0000	26.3790	-0.6384	-0.6957	-0.6907	-0.5772	-0.0108	-0.5065	0.6774	0.8995	0.7096	0.9103	0.7146	0.9163	0.6489	0.8943	0.5475	0.8585	0.7297	0.9158
9350	0.8054	0.6637	77.1790	0.0009	0.1137	0.8736	6.4688	0.7276	0.7434	0.7429	0.7114	0.7591	0.7901	79.6814	0.0020	0.0021	0.0000	25.5111	-0.6060	-0.6480	-0.6338	-0.5555	0.0611	-0.4732	0.6791	0.9023	0.7041	0.9124	0.6985	0.9149	0.6455	0.8980	0.4978	0.8410	0.6873	0.9103
9775	0.8071	0.6461	77.1361	0.0007	0.0947	0.8759	4.9824	0.7321	0.7460	0.7297	0.7154	0.7785	0.7889	79.6672	0.0020	0.0022	0.0000	22.7752	-0.6184	-0.6706	-0.6619	-0.5549	0.0019	-0.4837	0.7055	0.9036	0.7278	0.9128	0.7193	0.9172	0.6777	0.9013	0.5444	0.8626	0.7224	0.9161
10200	0.8105	0.6626	77.1566	0.0008	0.1009	0.8736	5.3534	0.7293	0.7430	0.7306	0.7133	0.7768	0.7958	79.6704	0.0020	0.0022	0.0000	23.5050	-0.6168	-0.6711	-0.6730	-0.5488	0.0376	-0.5054	0.7034	0.9048	0.7214	0.9130	0.7228	0.9191	0.6787	0.9019	0.4989	0.8423	0.7163	0.9131
10625	0.8114	0.6396	77.1283	0.0007	0.0930	0.8730	4.6304	0.7230	0.7379	0.7308	0.7056	0.7773	0.7850	79.6564	0.0021	0.0023	0.0000	20.5282	-0.6091	-0.6787	-0.6770	-0.5403	-0.0529	-0.5437	0.6934	0.9047	0.7177	0.9143	0.7158	0.9189	0.6701	0.9009	0.5729	0.8735	0.7209	0.9180
11050	0.8116	0.6483	77.1368	0.0008	0.0939	0.8750	4.8582	0.7333	0.7466	0.7369	0.7168	0.7733	0.7913	79.6605	0.0021	0.0022	0.0000	22.4819	-0.6332	-0.6873	-0.6797	-0.5615	-0.0221	-0.5301	0.6947	0.9008	0.7218	0.9114	0.7245	0.9183	0.6643	0.8982	0.5502	0.8613	0.7277	0.9184
11475	0.8136	0.6463	77.1131	0.0007	0.0875	0.8713	4.0378	0.7136	0.7284	0.7359	0.6985	0.7780	0.7753	79.6444	0.0022	0.0023	0.0000	18.9879	-0.6293	-0.6807	-0.6774	-0.5776	-0.0641	-0.5422	0.6965	0.9070	0.7228	0.9168	0.7243	0.9233	0.6718	0.9044	0.6125	0.8871	0.7327	0.9225
11900	0.8170	0.6571	77.1130	0.0007	0.0901	0.8730	4.1207	0.7193	0.7320	0.7378	0.7045	0.7814	0.7772	79.6388	0.0022	0.0024	0.0000	19.7651	-0.6487	-0.7083	-0.7017	-0.5840	-0.1040	-0.5648	0.6963	0.9067	0.7202	0.9156	0.7188	0.9211	0.6702	0.9029	0.5597	0.8720	0.7122	0.9177
12325	0.8159	0.6485	77.1142	0.0007	0.0873	0.8716	4.0509	0.7077	0.7210	0.7283	0.6934	0.7703	0.7619	79.6492	0.0021	0.0023	0.0000	19.6109	-0.6413	-0.6975	-0.6843	-0.5758	-0.0830	-0.5503	0.6982	0.9078	0.7205	0.9169	0.7204	0.9236	0.6820	0.9054	0.5716	0.8766	0.7101	0.9200
12750	0.8176	0.6538	77.1154	0.0007	0.0896	0.8702	4.1619	0.7121	0.7254	0.7303	0.6954	0.7733	0.7672	79.6462	0.0021	0.0023	0.0000	20.3014	-0.6443	-0.7046	-0.6966	-0.5801	-0.0543	-0.5480	0.6783	0.9039	0.7042	0.9139	0.7102	0.9213	0.6587	0.9021	0.5475	0.8730	0.6847	0.9173
13175	0.8108	0.6404	77.1477	0.0008	0.0975	0.8730	4.9534	0.7059	0.7205	0.7381	0.6902	0.7842	0.7943	79.6724	0.0020	0.0022	0.0000	22.3347	-0.6166	-0.6684	-0.6647	-0.5482	0.0122	-0.5095	0.6996	0.9084	0.7196	0.9176	0.7239	0.9237	0.6745	0.9051	0.5127	0.8529	0.6948	0.9163
13600	0.8156	0.6510	77.1090	0.0007	0.0899	0.8702	4.0352	0.7054	0.7176	0.7183	0.6907	0.7575	0.7479	79.6371	0.0022	0.0024	0.0000	18.7440	-0.6553	-0.7045	-0.6952	-0.5917	-0.1355	-0.5717	0.6956	0.9065	0.7224	0.9162	0.7285	0.9235	0.6593	0.9024	0.6077	0.8886	0.7316	0.9219
