batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.0085	0.0002	77.9564	0.0001	0.0030	0.9403	144.0000	0.0813	-0.0012	0.0385	0.0060	-0.0075	0.0356	79.9933	0.0000	0.0000	1.0000	144.0000	0.0111	0.0033	0.0670	-0.0174	0.1572	-0.0451	0.1781	0.4075	0.2286	0.5205	0.1791	0.4133	0.1679	0.3726	0.2367	0.5277	0.2276	0.5053
850	0.0122	0.0042	77.9564	0.0001	0.0071	0.9494	144.0000	-0.0473	0.0428	-0.0865	-0.0165	0.0669	0.0288	79.9933	0.0000	0.0000	1.0000	144.0000	0.0318	0.0183	-0.0045	0.0659	0.1840	-0.0324	0.2012	0.4737	0.2023	0.4404	0.2631	0.5861	0.1946	0.4643	0.2275	0.5118	0.2184	0.4921
1275	0.0102	0.0050	77.9564	0.0001	0.0052	0.9548	144.0000	-0.0063	0.0176	-0.0456	0.0057	0.0462	0.0346	79.9933	0.0000	0.0000	1.0000	144.0000	0.0170	0.0239	0.0387	-0.0165	-0.0036	-0.0451	0.2014	0.4520	0.2149	0.4850	0.1959	0.4780	0.2114	0.4613	0.2707	0.5709	0.2359	0.5230
1700	0.0014	0.0008	77.9564	0.0001	0.0068	0.9764	144.0000	-0.0038	-0.0368	0.0070	0.0190	0.0369	0.0674	79.9933	0.0000	0.0000	0.9990	144.0000	0.0071	-0.0288	-0.0873	-0.0464	0.0354	0.0453	0.1995	0.4659	0.1996	0.4379	0.1870	0.4447	0.1849	0.4101	0.2533	0.5527	0.2146	0.4891
2125	0.0148	0.0064	77.9564	0.0001	0.0100	0.9832	144.0000	0.0216	-0.0503	-0.0024	-0.0037	0.0194	0.0489	79.9933	0.0000	0.0000	0.9980	144.0000	-0.0198	-0.0222	-0.0499	-0.0000	-0.0199	-0.0194	0.1913	0.4595	0.1861	0.3856	0.1889	0.4441	0.2167	0.4710	0.2608	0.5794	0.2354	0.5338
2550	0.0148	0.0073	77.9564	0.0001	0.0103	0.9858	144.0000	-0.0075	-0.0491	0.0496	-0.0550	0.0484	-0.0159	79.9933	0.0000	0.0000	0.9980	144.0000	-0.0072	0.0256	0.0213	-0.0350	-0.0328	0.0168	0.2135	0.4905	0.1864	0.3976	0.1893	0.4490	0.1943	0.4147	0.2706	0.5935	0.2430	0.5559
2975	0.0116	0.0038	77.9564	0.0001	0.0114	0.9866	144.0000	-0.0227	0.0520	0.0090	0.0297	0.0335	-0.0265	79.9933	0.0000	0.0000	0.9879	144.0000	0.0169	-0.0294	-0.0000	-0.0157	0.0197	-0.0007	0.1933	0.4639	0.1948	0.4296	0.2093	0.4902	0.2033	0.4554	0.2964	0.6002	0.2220	0.5113
3400	0.0085	0.0053	77.9564	0.0001	0.0080	0.9787	144.0000	-0.0596	-0.0058	-0.0119	0.0469	-0.0189	-0.0348	79.9933	0.0000	0.0000	0.9869	144.0000	-0.0182	0.0145	0.0269	0.0104	0.0360	0.0157	0.1832	0.4304	0.1963	0.4417	0.1878	0.4319	0.1969	0.4211	0.2343	0.5241	0.2633	0.5773
3825	0.0048	0.0014	77.9564	0.0001	0.0109	0.9812	144.0000	-0.0059	0.0097	-0.0551	-0.0152	0.0195	0.0146	79.9933	0.0000	0.0000	0.9798	144.0000	0.0293	-0.0028	-0.0188	-0.0060	0.0089	0.0014	0.2152	0.4937	0.1828	0.3963	0.1854	0.4241	0.1879	0.4285	0.3411	0.6844	0.3224	0.6184
4250	0.0182	0.0092	77.9564	0.0001	0.0105	0.9881	144.0000	-0.0250	-0.0854	-0.0431	-0.0399	-0.0205	0.0059	79.9933	0.0000	0.0000	0.9950	144.0000	0.0024	0.0245	-0.0494	-0.0005	-0.0192	-0.0063	0.2006	0.4681	0.2003	0.4593	0.1968	0.4560	0.2049	0.4408	0.2959	0.6069	0.2661	0.5764
4675	0.0222	0.0158	77.9563	0.0002	0.0157	0.9696	144.0000	0.0021	-0.0486	0.0093	0.0752	-0.0245	0.0149	79.9933	0.0000	0.0000	0.9587	144.0000	-0.0484	-0.0544	0.0354	-0.0277	0.0313	0.0108	0.1814	0.4209	0.2034	0.4719	0.1781	0.4143	0.2003	0.4440	0.3313	0.6478	0.2571	0.5839
