batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
136	0.9272	0.0641	17.0576	0.0358	0.1474	0.9998	19.0000	0.4954	-0.2540	-0.2901	0.4897	-0.2537	-0.2917	0.4258	-0.2420	-0.2800	0.4730	-0.2550	-0.2881	-0.0604	-0.0054	0.0632	-0.0172	-0.0285	0.0585	17.0485	0.0363	0.1117	0.9992	19.0000	0.4924	-0.2346	-0.2978	0.4873	-0.2316	-0.2961	0.4120	-0.2395	-0.3149	0.4627	-0.2254	-0.3000	-0.0716	-0.0500	0.0031	-0.0080	-0.0413	0.0062	0.3545	0.7695	0.3735	0.7784	0.3563	0.7646	0.3300	0.7578	0.1452	0.5148	0.1366	0.4835
272	0.9272	0.0641	16.8164	0.0254	0.2362	0.9995	17.7694	0.4833	-0.2883	-0.2926	0.4805	-0.2877	-0.2906	0.4668	-0.2840	-0.2897	0.4743	-0.2876	-0.2917	-0.0026	-0.0582	0.0108	-0.0019	-0.0345	-0.0253	16.8150	0.0260	0.1686	0.9992	17.8814	0.4783	-0.2732	-0.3193	0.4767	-0.2711	-0.3180	0.4623	-0.2943	-0.3158	0.4671	-0.2816	-0.3232	-0.0243	0.0596	0.0228	-0.0172	0.0233	0.0836	0.2934	0.7211	0.3019	0.7261	0.3056	0.7288	0.2858	0.7135	0.1494	0.5201	0.1434	0.5157
408	0.9272	0.0641	16.7803	0.0238	0.2517	0.9997	16.7069	0.4816	-0.3031	-0.2861	0.4735	-0.3041	-0.2865	0.4599	-0.3008	-0.2875	0.4648	-0.3024	-0.2819	0.0068	-0.1023	-0.0084	0.0199	-0.0833	-0.0359	16.7768	0.0243	0.1774	0.9992	16.8949	0.4741	-0.2965	-0.3145	0.4693	-0.2917	-0.3101	0.4586	-0.3053	-0.3079	0.4584	-0.2996	-0.3149	0.0063	-0.1697	-0.1465	0.0061	-0.0450	-0.0389	0.2388	0.6678	0.2495	0.6786	0.2603	0.6881	0.2240	0.6497	0.1544	0.5584	0.1442	0.5085
544	0.9272	0.0641	16.7716	0.0234	0.2518	0.9998	15.4777	0.4815	-0.3105	-0.2788	0.4657	-0.3121	-0.2841	0.4483	-0.3091	-0.2871	0.4547	-0.3070	-0.2684	0.0284	-0.1069	-0.0041	0.0474	-0.0951	-0.0476	16.7659	0.0238	0.1689	0.9988	15.7655	0.4722	-0.3202	-0.3053	0.4636	-0.3079	-0.2996	0.4516	-0.3123	-0.3048	0.4513	-0.3167	-0.3070	0.0350	0.0675	0.0316	0.0499	0.0061	0.0235	0.2103	0.6256	0.2225	0.6441	0.2364	0.6606	0.1877	0.5958	0.1496	0.5135	0.1581	0.5623
680	0.9272	0.0641	16.7712	0.0233	0.2566	0.9997	14.0957	0.4827	-0.3107	-0.2671	0.4587	-0.3128	-0.2774	0.4360	-0.3129	-0.2843	0.4476	-0.3060	-0.2538	0.0344	-0.1017	-0.0368	0.0662	-0.1408	-0.0623	16.7631	0.0236	0.1633	0.9992	14.4664	0.4713	-0.3241	-0.3035	0.4589	-0.3202	-0.3022	0.4448	-0.3123	-0.3035	0.4473	-0.3268	-0.3070	0.0251	0.0004	-0.0702	0.0443	0.0117	-0.0584	0.1842	0.5887	0.2014	0.6137	0.2191	0.6395	0.1611	0.5474	0.1549	0.5492	0.1608	0.5666
816	0.9272	0.0641	16.7706	0.0233	0.2557	0.9994	12.6924	0.4840	-0.3060	-0.2574	0.4527	-0.3109	-0.2708	0.4242	-0.3113	-0.2828	0.4424	-0.2982	-0.2413	0.0555	-0.0957	-0.0259	0.0730	-0.1588	-0.1136	16.7600	0.0235	0.1655	0.9985	13.0750	0.4710	-0.3224	-0.3048	0.4553	-0.3136	-0.2969	0.4385	-0.3018	-0.2974	0.4441	-0.3320	-0.3048	0.0299	-0.0289	-0.0522	0.0690	0.0292	-0.0832	0.1665	0.5572	0.1851	0.5898	0.2054	0.6211	0.1465	0.5116	0.1527	0.5357	0.1560	0.5606
952	0.9272	0.0641	16.7649	0.0230	0.2556	0.9985	11.4790	0.4861	-0.2978	-0.2479	0.4501	-0.3051	-0.2616	0.4157	-0.3067	-0.2787	0.4420	-0.2841	-0.2286	0.0526	-0.0928	-0.0528	0.0825	-0.1598	-0.0833	16.7520	0.0231	0.1638	0.9985	11.8281	0.4711	-0.3162	-0.2987	0.4537	-0.3092	-0.2904	0.4343	-0.2982	-0.2943	0.4434	-0.3219	-0.3044	0.0535	-0.0522	-0.0798	0.0869	-0.0106	-0.1092	0.1550	0.5320	0.1723	0.5667	0.1931	0.6047	0.1373	0.4859	0.1380	0.4925	0.1672	0.5767
1088	0.9272	0.0641	16.7590	0.0226	0.2568	0.9985	10.5406	0.4879	-0.2855	-0.2375	0.4492	-0.2967	-0.2523	0.4092	-0.3013	-0.2727	0.4434	-0.2698	-0.2170	0.0689	-0.0994	-0.0388	0.0952	-0.1554	-0.1596	16.7437	0.0226	0.1635	0.9985	10.8192	0.4712	-0.3057	-0.2838	0.4531	-0.2943	-0.2768	0.4312	-0.2851	-0.2816	0.4434	-0.3145	-0.2917	0.0753	0.1009	-0.0443	0.0952	-0.1380	-0.1325	0.1469	0.5114	0.1617	0.5465	0.1837	0.5910	0.1316	0.4673	0.1426	0.4941	0.1588	0.5583
1224	0.9272	0.0641	16.7481	0.0221	0.2607	0.9977	9.8175	0.4889	-0.2766	-0.2276	0.4495	-0.2903	-0.2434	0.4047	-0.2961	-0.2674	0.4457	-0.2574	-0.2098	0.0847	-0.0919	-0.0239	0.1022	-0.1779	-0.1372	16.7305	0.0220	0.1608	0.9981	10.0471	0.4709	-0.2899	-0.2737	0.4528	-0.2846	-0.2697	0.4284	-0.2671	-0.2737	0.4437	-0.2991	-0.2785	0.0831	-0.0763	-0.0294	0.0898	-0.1475	-0.1467	0.1408	0.4969	0.1547	0.5302	0.1779	0.5802	0.1284	0.4549	0.1362	0.4719	0.1283	0.4512
1360	0.9272	0.0641	16.7411	0.0217	0.2590	0.9974	9.3288	0.4903	-0.2667	-0.2184	0.4510	-0.2822	-0.2323	0.4017	-0.2903	-0.2606	0.4495	-0.2435	-0.2004	0.1013	-0.0592	-0.0061	0.1038	-0.0999	-0.0611	16.7209	0.0215	0.1651	0.9977	9.5054	0.4709	-0.2851	-0.2689	0.4527	-0.2702	-0.2632	0.4260	-0.2531	-0.2632	0.4447	-0.2877	-0.2697	0.1098	0.0066	-0.0456	0.0996	-0.0038	-0.1405	0.1366	0.4843	0.1486	0.5160	0.1720	0.5695	0.1261	0.4457	0.1383	0.4888	0.1345	0.4793
