batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
425	0.0102	0.0022	77.9564	0.0001	0.0100	0.9514	144.0000	0.0126	0.0798	0.0634	-0.0172	79.9933	0.0000	0.0000	0.0071	144.0000	0.0255	-0.2939	-0.3816	0.1252	0.2088	0.4796	0.2346	0.5447	0.2273	0.5316	0.2128	0.4745
850	0.0591	0.0274	77.9557	0.0004	0.0290	0.9611	144.0000	0.1093	0.1501	0.1529	0.0788	79.9928	0.0000	0.0000	0.9950	144.0000	-0.5210	-0.6942	-0.5887	-0.3127	0.3070	0.6367	0.3430	0.6965	0.3449	0.7028	0.2649	0.5767
1275	0.2875	0.2003	77.9536	0.0019	0.1269	0.9997	144.0000	0.3346	0.3670	0.3364	0.3043	79.9914	0.0001	0.0001	1.0000	144.0000	-0.7042	-0.8385	-0.7589	-0.5273	0.3243	0.6428	0.3635	0.6906	0.3801	0.7195	0.3247	0.6413
1700	0.4009	0.3105	77.9520	0.0026	0.2115	0.9989	144.0000	0.3936	0.4067	0.3738	0.3748	79.9905	0.0001	0.0001	1.0000	144.0000	-0.7788	-0.8644	-0.7202	-0.6405	0.3964	0.6831	0.4393	0.7330	0.4685	0.7793	0.3755	0.6821
2125	0.4398	0.3504	77.9513	0.0029	0.2498	1.0000	144.0000	0.4022	0.4053	0.3776	0.3869	79.9896	0.0001	0.0001	1.0000	144.0000	-0.7911	-0.8457	-0.7153	-0.7079	0.3384	0.6520	0.3694	0.6877	0.3880	0.7207	0.3142	0.6392
2550	0.4619	0.3942	77.9502	0.0030	0.2669	1.0000	144.0000	0.3365	0.3521	0.3267	0.3274	79.9883	0.0001	0.0001	1.0000	144.0000	-0.8217	-0.8398	-0.6752	-0.7559	0.2955	0.6077	0.3226	0.6423	0.3450	0.6806	0.2931	0.6077
2975	0.5793	0.4734	77.9497	0.0038	0.3238	1.0000	144.0000	0.5431	0.5552	0.4882	0.5372	79.9886	0.0001	0.0001	1.0000	144.0000	-0.7328	-0.7944	-0.6415	-0.6867	0.3440	0.6831	0.3808	0.7109	0.3978	0.7249	0.3518	0.6845
3400	0.5940	0.4824	77.9491	0.0039	0.3304	0.9997	144.0000	0.5264	0.5339	0.4860	0.5188	79.9883	0.0001	0.0001	1.0000	144.0000	-0.7776	-0.8385	-0.7135	-0.7122	0.3740	0.7087	0.4103	0.7360	0.4474	0.7752	0.3755	0.7112
3825	0.6122	0.4905	77.9491	0.0040	0.3356	1.0000	144.0000	0.6024	0.6121	0.5476	0.5923	79.9889	0.0001	0.0001	1.0000	144.0000	-0.7794	-0.8398	-0.6786	-0.7129	0.4186	0.7519	0.4591	0.7824	0.4863	0.8042	0.3922	0.7474
4250	0.6696	0.5461	77.9484	0.0044	0.3537	0.9997	144.0000	0.6430	0.6432	0.5653	0.6276	79.9886	0.0001	0.0001	1.0000	144.0000	-0.7644	-0.8190	-0.6915	-0.6834	0.4937	0.7876	0.5458	0.8181	0.5682	0.8446	0.4661	0.7832
4675	0.7031	0.5646	77.9483	0.0046	0.3795	1.0000	144.0000	0.6843	0.6851	0.5921	0.6708	79.9885	0.0001	0.0001	1.0000	144.0000	-0.7995	-0.8529	-0.7190	-0.7305	0.4759	0.7861	0.4963	0.8040	0.5076	0.8182	0.4622	0.7821
5100	0.6341	0.5170	77.9488	0.0041	0.3414	1.0000	144.0000	0.5915	0.6009	0.5362	0.5850	79.9882	0.0001	0.0001	1.0000	144.0000	-0.8010	-0.8381	-0.6752	-0.7257	0.4187	0.7284	0.4538	0.7526	0.4784	0.7718	0.4107	0.7299
5525	0.7156	0.5689	77.9481	0.0047	0.3971	1.0000	144.0000	0.6803	0.6816	0.6097	0.6660	79.9884	0.0001	0.0001	1.0000	144.0000	-0.7668	-0.8032	-0.6754	-0.6980	0.4846	0.7964	0.5254	0.8184	0.5442	0.8391	0.4694	0.7921
5950	0.7097	0.5665	77.9480	0.0046	0.3941	1.0000	144.0000	0.7060	0.7113	0.6374	0.6892	79.9880	0.0001	0.0001	1.0000	144.0000	-0.8052	-0.8375	-0.7225	-0.7528	0.4818	0.7816	0.5214	0.8018	0.5592	0.8323	0.4453	0.7740
6375	0.7298	0.5857	77.9477	0.0047	0.4127	1.0000	144.0000	0.7092	0.7103	0.6188	0.6982	79.9879	0.0001	0.0001	1.0000	144.0000	-0.7680	-0.8053	-0.6964	-0.7165	0.4820	0.7940	0.5104	0.8121	0.5306	0.8290	0.4693	0.7940
6800	0.7324	0.5828	77.9474	0.0048	0.4088	1.0000	144.0000	0.7410	0.7449	0.6611	0.7298	79.9882	0.0001	0.0001	1.0000	144.0000	-0.8064	-0.8395	-0.7147	-0.7127	0.5355	0.8323	0.5757	0.8499	0.5800	0.8633	0.5274	0.8336
