batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
381	0.1304	0.0574	6.0617	0.0158	0.7427	0.2258	1.9665	-0.0054	-0.0399	0.0030	-0.0051	-0.0290	-0.0163	-0.0119	-0.0257	-0.0254	0.0039	-0.0236	-0.0142	-0.0219	-0.0400	-0.0325	-0.0129	-0.0457	-0.0142	6.0749	0.0160	0.7717	0.2348	1.9802	-0.0121	-0.0117	0.0027	-0.0044	-0.0145	-0.0101	-0.0120	-0.0001	0.0034	-0.0030	0.0069	0.0180	-0.0087	-0.0132	-0.0007	-0.0108	-0.0168	-0.0114	0.5968	0.5005	0.5931	0.5014	0.5578	0.4561	0.5818	0.4878	0.6004	0.5149	0.5770	0.4745
762	0.1818	0.0370	6.0166	0.0114	0.7467	0.2690	1.5675	0.0221	0.0259	0.0345	0.0208	0.0344	0.0434	0.0082	0.0338	0.0328	0.0157	0.0235	0.0274	0.0075	0.0113	0.0215	-0.0062	0.0290	0.0385	6.0368	0.0130	0.8099	0.2411	1.6204	0.0316	0.0681	0.0628	0.0243	0.0449	0.0515	0.0114	0.0235	0.0206	0.0129	0.0261	0.0359	-0.0015	0.0081	-0.0002	-0.0044	0.0054	0.0058	0.6367	0.5793	0.6231	0.5726	0.5714	0.4977	0.6459	0.5951	0.6075	0.5454	0.5994	0.5338
1143	0.1300	0.0529	6.0597	0.0149	0.7408	0.2464	2.0317	0.0028	0.0371	0.0478	0.0039	0.0088	-0.0101	0.0236	0.0320	0.0334	0.0017	-0.0169	-0.0094	-0.0052	-0.0122	-0.0074	-0.0052	-0.0152	-0.0132	6.0748	0.0152	0.7619	0.2445	2.0647	-0.0030	0.0031	0.0115	0.0095	0.0361	0.0292	0.0160	0.0235	0.0164	0.0002	0.0048	-0.0040	-0.0130	0.0025	0.0001	0.0005	0.0120	-0.0093	0.5893	0.4944	0.5779	0.4807	0.5767	0.4864	0.5826	0.4883	0.5832	0.4975	0.5815	0.4993
1524	0.1290	0.0480	6.1428	0.0206	0.6526	0.2779	2.8856	-0.0057	-0.0360	-0.0240	0.0046	-0.0416	-0.0230	0.0202	0.0100	0.0417	0.0005	-0.0086	-0.0106	-0.0006	-0.0227	-0.0047	-0.0036	-0.0403	-0.0086	6.1583	0.0203	0.6922	0.2663	2.8898	-0.0043	-0.0088	-0.0087	-0.0081	-0.0116	-0.0220	0.0041	0.0004	0.0007	0.0086	-0.0094	0.0059	-0.0010	-0.0078	0.0072	-0.0042	-0.0207	-0.0058	0.6108	0.5201	0.5958	0.5166	0.6016	0.5268	0.6042	0.5160	0.6063	0.5310	0.6078	0.5300
1905	0.2452	0.0429	5.9725	0.0060	0.8202	0.2941	1.4261	-0.0087	0.0372	0.0400	-0.0094	0.0104	0.0142	-0.0076	0.0143	0.0231	-0.0163	-0.0010	-0.0016	0.0039	0.0217	0.0153	0.0037	-0.0087	-0.0095	5.9819	0.0062	0.7584	0.2893	1.4118	-0.0097	-0.0053	-0.0066	-0.0071	-0.0068	-0.0122	-0.0122	-0.0041	-0.0073	-0.0165	-0.0094	-0.0126	0.0008	0.0024	-0.0064	-0.0061	0.0155	0.0116	0.5812	0.5008	0.5930	0.5126	0.5846	0.5049	0.5849	0.4985	0.5931	0.5178	0.5944	0.5249
2286	0.1738	0.0421	6.0555	0.0147	0.7407	0.2958	1.8285	0.0067	0.0035	0.0022	0.0184	0.0147	0.0198	0.0103	-0.0289	-0.0262	0.0122	0.0149	0.0161	-0.0104	-0.0159	-0.0166	0.0056	0.0156	0.0203	6.0674	0.0145	0.7728	0.3061	1.8077	0.0059	-0.0139	-0.0239	0.0181	0.0106	0.0004	-0.0059	-0.0011	-0.0138	0.0244	-0.0050	-0.0129	0.0113	0.0128	-0.0036	0.0113	0.0270	0.0202	0.5726	0.4986	0.5907	0.5046	0.5682	0.4853	0.5725	0.4880	0.5681	0.4925	0.5711	0.4916
2667	0.1189	0.0465	6.0455	0.0143	0.7452	0.1964	1.9070	0.0077	-0.0069	0.0136	-0.0036	-0.0097	0.0188	0.0019	-0.0154	-0.0032	0.0013	-0.0254	0.0079	-0.0012	-0.0195	0.0054	0.0029	-0.0495	-0.0145	6.0588	0.0141	0.7757	0.2016	1.9038	0.0049	-0.0162	0.0058	-0.0005	-0.0142	-0.0064	0.0122	0.0087	0.0143	0.0055	-0.0060	0.0034	-0.0026	-0.0164	0.0044	-0.0080	-0.0345	-0.0283	0.5958	0.5094	0.5930	0.5086	0.5755	0.4990	0.5776	0.4955	0.5854	0.4996	0.5882	0.5036
3048	0.1448	0.0359	6.0154	0.0122	0.7680	0.2133	1.5543	0.0013	-0.0211	-0.0106	-0.0051	0.0000	0.0073	0.0077	-0.0018	0.0039	-0.0082	-0.0221	-0.0123	-0.0002	-0.0184	-0.0032	0.0093	0.0036	0.0213	6.0259	0.0124	0.8171	0.2003	1.5517	-0.0001	0.0178	0.0124	0.0201	0.0258	0.0265	0.0142	0.0394	0.0405	-0.0001	0.0117	0.0085	-0.0001	-0.0095	-0.0031	0.0114	0.0028	0.0181	0.5843	0.5022	0.5952	0.5065	0.5791	0.4911	0.5828	0.4888	0.5722	0.4900	0.5824	0.4955
3429	0.0761	0.0222	5.9465	0.0049	0.5768	0.0993	1.2904	-0.0089	0.0033	0.0034	-0.0057	-0.0057	-0.0090	-0.0089	-0.0298	-0.0283	-0.0182	-0.0046	0.0005	-0.0098	-0.0104	-0.0157	-0.0105	-0.0197	-0.0146	5.9668	0.0055	0.6015	0.1032	1.3245	-0.0100	0.0069	0.0075	-0.0072	0.0239	0.0198	0.0001	-0.0180	-0.0191	-0.0045	0.0047	0.0010	0.0068	0.0193	0.0174	-0.0020	0.0199	0.0208	0.6046	0.5265	0.5848	0.5096	0.6060	0.5266	0.5816	0.5027	0.5917	0.5197	0.5864	0.5044
3810	0.2564	0.0341	5.9547	0.0052	0.8196	0.2942	1.2630	0.0035	0.0098	0.0127	-0.0227	-0.0238	-0.0215	-0.0092	-0.0437	-0.0394	-0.0122	-0.0132	-0.0107	0.0026	-0.0102	-0.0054	0.0044	0.0135	0.0159	5.9671	0.0052	0.8733	0.2770	1.2721	-0.0210	-0.0344	-0.0329	-0.0135	-0.0299	-0.0276	0.0011	0.0175	0.0176	-0.0202	-0.0273	-0.0270	-0.0031	-0.0149	-0.0102	-0.0050	-0.0035	-0.0061	0.5306	0.4376	0.5421	0.4564	0.6288	0.5617	0.5282	0.4275	0.5521	0.4698	0.5753	0.4851
