batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.0077	0.0066	77.9002	0.0004	0.0500	0.7332	111.9741	-0.0193	-0.0168	0.0165	0.0008	0.0198	-0.0085	79.9362	0.0004	0.0004	0.6270	112.0302	0.0104	0.0536	0.0296	-0.0062	-0.0216	-0.0150	0.2188	0.4970	0.2132	0.4839	0.2129	0.4815	0.2255	0.4987	0.2156	0.4950	0.2103	0.4812
850	0.0057	0.0044	77.8997	0.0004	0.0499	0.7347	112.0332	0.0131	-0.0032	-0.0138	-0.0066	-0.0074	0.0001	79.9377	0.0004	0.0004	0.6905	112.1220	0.0102	0.0088	-0.0000	0.0148	0.0150	-0.0069	0.2134	0.4903	0.2173	0.4938	0.2175	0.4981	0.2224	0.4983	0.2309	0.5204	0.2201	0.5014
1275	0.0054	0.0047	77.9008	0.0004	0.0495	0.7352	111.9861	-0.0024	0.0020	-0.0075	-0.0084	-0.0209	0.0008	79.9361	0.0004	0.0004	0.6774	111.9415	-0.0028	0.0030	0.0440	0.0177	0.0212	0.0161	0.2195	0.4978	0.2061	0.4702	0.2250	0.5077	0.2303	0.5107	0.2163	0.4922	0.2237	0.5099
1700	0.0048	0.0041	77.9003	0.0004	0.0484	0.7188	112.0506	0.0131	0.0149	0.0117	-0.0005	-0.0102	0.0093	79.9371	0.0004	0.0004	0.6754	111.9637	0.0258	-0.0029	0.0252	0.0165	-0.0095	-0.0073	0.2146	0.4925	0.2114	0.4924	0.2163	0.4884	0.2176	0.4933	0.2223	0.5086	0.2227	0.5115
2125	0.0063	0.0052	77.8996	0.0004	0.0532	0.7395	111.8173	-0.0021	0.0085	0.0051	-0.0200	0.0064	-0.0055	79.9375	0.0004	0.0004	0.6905	112.0050	-0.0256	0.0094	-0.0246	-0.0452	0.0065	-0.0074	0.2224	0.5043	0.2297	0.5180	0.2288	0.5240	0.2280	0.4993	0.2182	0.5042	0.2270	0.5125
2550	0.0068	0.0058	77.9006	0.0004	0.0496	0.7386	111.9759	-0.0231	0.0017	-0.0134	0.0032	-0.0070	0.0187	79.9371	0.0004	0.0004	0.6835	111.9093	0.0136	-0.0247	0.0151	-0.0052	-0.0042	0.0035	0.2163	0.4872	0.2214	0.5028	0.2183	0.4948	0.2097	0.4897	0.2149	0.4952	0.2250	0.5100
2975	0.0077	0.0069	77.8997	0.0004	0.0492	0.7355	111.9313	-0.0060	-0.0086	0.0052	0.0084	-0.0120	-0.0232	79.9363	0.0004	0.0004	0.6794	112.0706	-0.0097	-0.0401	0.0057	-0.0038	0.0010	-0.0096	0.2283	0.5181	0.2321	0.5186	0.2151	0.4876	0.2211	0.4903	0.2185	0.4978	0.2310	0.5205
3400	0.0045	0.0039	77.9003	0.0004	0.0496	0.7293	111.9250	-0.0208	0.0080	-0.0121	0.0151	0.0149	-0.0269	79.9363	0.0004	0.0004	0.6764	111.8992	0.0057	0.0201	-0.0130	-0.0009	0.0041	-0.0053	0.2243	0.5031	0.2161	0.4952	0.2145	0.4878	0.2236	0.5056	0.2300	0.5135	0.2254	0.5092
3825	0.0077	0.0060	77.8999	0.0004	0.0511	0.7310	111.9634	0.0001	0.0044	0.0052	-0.0078	0.0054	0.0082	79.9384	0.0004	0.0004	0.6653	112.0726	-0.0300	-0.0038	0.0078	-0.0219	-0.0069	-0.0032	0.2282	0.5165	0.2129	0.4910	0.2195	0.4915	0.2285	0.5063	0.2187	0.5010	0.2173	0.4894
4250	0.0071	0.0057	77.8999	0.0004	0.0499	0.7281	111.9401	0.0101	0.0005	-0.0143	-0.0180	-0.0031	0.0113	79.9362	0.0004	0.0004	0.7006	111.9264	0.0160	-0.0193	-0.0092	0.0050	-0.0204	-0.0130	0.2108	0.4852	0.2244	0.5048	0.2306	0.5156	0.2185	0.4994	0.2195	0.4916	0.2212	0.5012
