batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.7304	0.5843	77.3696	0.0017	0.1688	0.9227	46.1915	0.7474	0.6913	0.5771	0.7180	0.4467	0.5279	79.7584	0.0016	0.0016	0.2359	88.5665	-0.5813	-0.6217	-0.5976	-0.4907	0.2401	-0.2911	0.6532	0.8725	0.6995	0.8927	0.6978	0.8966	0.6055	0.8613	0.2393	0.5729	0.4961	0.8296
850	0.7386	0.6140	77.3037	0.0014	0.1594	0.8923	27.0472	0.7376	0.7069	0.5918	0.7101	0.5196	0.5588	79.6725	0.0021	0.0022	0.0635	60.5837	-0.7319	-0.8240	-0.8040	-0.6565	0.1243	-0.4935	0.5841	0.8320	0.5890	0.8476	0.5826	0.8473	0.5265	0.8177	0.2918	0.6709	0.4584	0.8033
1275	0.7616	0.6150	77.2805	0.0014	0.1511	0.8920	26.7514	0.7539	0.7239	0.6048	0.7279	0.5192	0.5756	79.6776	0.0021	0.0021	0.2339	64.4647	-0.7245	-0.7983	-0.7759	-0.6286	0.0364	-0.4700	0.6163	0.8536	0.6558	0.8712	0.6737	0.8803	0.5816	0.8452	0.3156	0.7079	0.5789	0.8441
1700	0.7696	0.6256	77.3030	0.0015	0.1541	0.9134	34.8690	0.7649	0.7312	0.6084	0.7423	0.5301	0.5784	79.7209	0.0018	0.0018	0.5998	76.1371	-0.7071	-0.8024	-0.7924	-0.5997	0.2259	-0.4268	0.6466	0.8712	0.6859	0.8889	0.7076	0.9004	0.5981	0.8596	0.2887	0.6808	0.5542	0.8561
2125	0.7767	0.6221	77.3435	0.0017	0.1729	0.9338	49.2827	0.7610	0.7248	0.6333	0.7345	0.4937	0.5847	79.7567	0.0016	0.0016	0.7298	85.2450	-0.7210	-0.8084	-0.7867	-0.5993	0.3021	-0.3547	0.6648	0.8846	0.6882	0.8993	0.6860	0.9027	0.6259	0.8739	0.2657	0.6424	0.5180	0.8461
2550	0.7812	0.6234	77.4224	0.0021	0.2089	0.9733	72.3224	0.7667	0.7233	0.6377	0.7438	0.4382	0.5698	79.8072	0.0013	0.0013	0.9516	98.8276	-0.6331	-0.7527	-0.7378	-0.5064	0.3073	-0.4028	0.6848	0.8938	0.7211	0.9091	0.7267	0.9164	0.6304	0.8825	0.2499	0.6145	0.6112	0.8705
2975	0.7824	0.6359	77.5963	0.0031	0.2973	0.9989	101.6014	0.7442	0.6674	0.5964	0.7141	0.2049	0.5053	79.8723	0.0008	0.0008	1.0000	112.4012	-0.6283	-0.7270	-0.6920	-0.4970	0.3488	-0.3331	0.6877	0.8985	0.6955	0.9073	0.6751	0.9051	0.6377	0.8848	0.1879	0.4492	0.5294	0.8463
3400	0.7838	0.6207	77.8102	0.0043	0.4113	0.9994	123.8773	0.7332	0.6163	0.5367	0.6685	0.1082	0.4576	79.9412	0.0004	0.0004	1.0000	127.2379	-0.5075	-0.6150	-0.5799	-0.3676	0.2827	-0.2417	0.6736	0.9000	0.6746	0.9062	0.6482	0.8974	0.6264	0.8831	0.1729	0.4042	0.4861	0.8210
3825	0.6889	0.5807	77.9313	0.0044	0.3982	0.9994	134.8608	0.6548	0.4823	0.4080	0.5772	0.0218	0.2321	79.9800	0.0001	0.0001	1.0000	135.6260	-0.2840	-0.3782	-0.3732	-0.1240	0.1358	-0.0053	0.5579	0.8506	0.5068	0.8227	0.4622	0.7993	0.4486	0.8013	0.1860	0.4465	0.2625	0.6045
4250	0.6284	0.5211	77.9457	0.0041	0.3633	0.9997	139.2276	0.5859	0.3758	0.3369	0.4720	0.2265	0.2892	79.9868	0.0001	0.0001	1.0000	139.6986	-0.2479	-0.2839	-0.3425	-0.1592	-0.0668	-0.1401	0.5630	0.8411	0.4603	0.7824	0.4328	0.7488	0.4545	0.7873	0.3437	0.6982	0.3853	0.7397
