batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
425	0.0085	0.0001	77.9564	0.0001	0.0096	0.9528	144.0000	0.0343	0.0557	0.0549	-0.0312	79.9933	0.0000	0.0000	0.1885	144.0000	-0.2917	-0.5950	-0.5761	0.2417	0.2150	0.5056	0.2590	0.5611	0.2510	0.5501	0.1958	0.4284
850	0.0349	0.0117	77.9562	0.0003	0.0186	0.9597	144.0000	0.1789	0.1780	0.1715	0.1901	79.9932	0.0000	0.0000	1.0000	144.0000	-0.3866	-0.6699	-0.6836	-0.1306	0.2876	0.6567	0.2672	0.6246	0.2760	0.6416	0.2759	0.6198
1275	0.2932	0.2110	77.9537	0.0019	0.1469	1.0000	144.0000	0.3233	0.3520	0.3321	0.3175	79.9913	0.0001	0.0001	1.0000	144.0000	-0.6731	-0.7754	-0.6396	-0.4968	0.2855	0.6089	0.3111	0.6457	0.3382	0.6893	0.2947	0.6123
1700	0.4159	0.3250	77.9519	0.0027	0.2165	0.9994	144.0000	0.4370	0.4416	0.3827	0.4292	79.9903	0.0001	0.0001	1.0000	144.0000	-0.7575	-0.8266	-0.6312	-0.6147	0.3426	0.6692	0.3803	0.6942	0.3726	0.6888	0.3456	0.6729
2125	0.5830	0.4534	77.9496	0.0038	0.3129	0.9997	144.0000	0.6052	0.6057	0.4976	0.5968	79.9892	0.0001	0.0001	1.0000	144.0000	-0.7739	-0.8140	-0.6574	-0.6529	0.4206	0.7441	0.4829	0.7832	0.5110	0.8035	0.4104	0.7511
2550	0.6091	0.4897	77.9490	0.0040	0.3337	0.9997	144.0000	0.6090	0.6073	0.5195	0.5903	79.9890	0.0001	0.0001	1.0000	144.0000	-0.7764	-0.8157	-0.6821	-0.6733	0.4793	0.7801	0.5334	0.8111	0.5645	0.8326	0.4631	0.7829
2975	0.6202	0.5011	77.9488	0.0040	0.3578	1.0000	144.0000	0.6096	0.6086	0.5359	0.5967	79.9885	0.0001	0.0001	1.0000	144.0000	-0.8014	-0.8299	-0.6793	-0.7105	0.4311	0.7544	0.4727	0.7804	0.4982	0.8029	0.4183	0.7549
3400	0.6861	0.5491	77.9485	0.0045	0.3820	0.9997	144.0000	0.6856	0.6868	0.6119	0.6729	79.9887	0.0001	0.0001	1.0000	144.0000	-0.8068	-0.8369	-0.7087	-0.7270	0.4878	0.7846	0.5264	0.8085	0.5406	0.8245	0.4662	0.7843
3825	0.5142	0.4174	77.9498	0.0033	0.2768	0.9997	144.0000	0.4660	0.4693	0.4212	0.4642	79.9881	0.0001	0.0001	1.0000	144.0000	-0.8410	-0.8644	-0.7159	-0.7779	0.2791	0.6169	0.2866	0.6269	0.2829	0.6218	0.2848	0.6199
4250	0.6929	0.5682	77.9483	0.0045	0.3756	0.9997	144.0000	0.6927	0.6922	0.6120	0.6771	79.9878	0.0001	0.0001	1.0000	144.0000	-0.8201	-0.8562	-0.7267	-0.7579	0.4300	0.7399	0.4523	0.7567	0.4611	0.7730	0.4122	0.7342
4675	0.6918	0.5728	77.9482	0.0045	0.4110	0.9994	144.0000	0.6938	0.6947	0.6186	0.6824	79.9885	0.0001	0.0001	1.0000	144.0000	-0.7473	-0.8036	-0.7043	-0.6741	0.4919	0.7984	0.5587	0.8255	0.6211	0.8565	0.4723	0.7964
5100	0.6472	0.5457	77.9486	0.0042	0.3512	0.9997	144.0000	0.6536	0.6490	0.5823	0.6383	79.9886	0.0001	0.0001	1.0000	144.0000	-0.8073	-0.8676	-0.7391	-0.7336	0.4567	0.7666	0.5015	0.7919	0.5406	0.8174	0.4300	0.7629
5525	0.7344	0.5994	77.9478	0.0048	0.4006	1.0000	144.0000	0.7504	0.7516	0.6416	0.7365	79.9887	0.0001	0.0001	1.0000	144.0000	-0.7888	-0.8512	-0.7447	-0.7055	0.5503	0.8424	0.5998	0.8654	0.6283	0.8818	0.5151	0.8368
5950	0.6645	0.5657	77.9483	0.0043	0.3856	0.9997	144.0000	0.6820	0.6828	0.6275	0.6680	79.9880	0.0001	0.0001	1.0000	144.0000	-0.8409	-0.8680	-0.7501	-0.7751	0.4024	0.7564	0.4281	0.7734	0.4499	0.7908	0.3948	0.7534
